variable,label,Treated_mean,Unmatched controls_mean,Matched controls_mean,Treated_sd,Unmatched controls_sd,Matched controls_sd,Treated_median,Unmatched controls_median,Matched controls_median,Treated_p25,Unmatched controls_p25,Matched controls_p25,Treated_p75,Unmatched controls_p75,Matched controls_p75,Treated_n,Unmatched controls_n,Matched controls_n,var_group
mean_car_KSI_pkm,Mean: car KSI/km,0.0152,0.0056,0.0074,0.0553,0.0339,0.0176,0,0,0,0,0,0,0,0,0,814,65020,1993,Injury levels (pre-treatment)
mean_car_slight_pkm,Mean: car slight/km,0.1969,0.0606,0.1104,0.4747,0.2059,0.1281,0.0882,0.0096,0.0712,0,0,0,0.2372,0.0735,0.154,814,65020,1993,Injury levels (pre-treatment)
mean_cyc_KSI_pkm,Mean: cycling KSI/km,0.0122,0.004,0.0066,0.0411,0.0205,0.0164,0,0,0,0,0,0,0,0,0,814,65020,1993,Injury levels (pre-treatment)
mean_cyc_slight_pkm,Mean: cycling slight/km,0.0524,0.0144,0.0291,0.1033,0.0873,0.0467,0.0061,0,0,0,0,0,0.0653,0.01,0.0408,814,65020,1993,Injury levels (pre-treatment)
mean_other_KSI_pkm,Mean: other KSI/km,0.0113,0.0048,0.0066,0.0433,0.0366,0.0157,0,0,0,0,0,0,0,0,0,814,65020,1993,Injury levels (pre-treatment)
mean_other_slight_pkm,Mean: other slight/km,0.0341,0.0114,0.02,0.0748,0.1073,0.0361,0,0,0,0,0,0,0.0393,0,0.0281,814,65020,1993,Injury levels (pre-treatment)
mean_ped_KSI_pkm,Mean: pedestrian KSI/km,0.0351,0.0075,0.0169,0.0777,0.0395,0.0283,0,0,0,0,0,0,0.0435,0,0.028,814,65020,1993,Injury levels (pre-treatment)
mean_ped_slight_pkm,Mean: pedestrian slight/km,0.096,0.0181,0.0427,0.1778,0.067,0.057,0.0454,0,0.0223,0,0,0,0.1116,0.0195,0.062,814,65020,1993,Injury levels (pre-treatment)
mean_total_pkm,Mean: total injuries/km,0.4533,0.1263,0.2583,0.5922,0.4394,0.2355,0.3001,0.0537,0.1825,0.1476,0,0.0852,0.5541,0.1535,0.3476,814,65020,1993,Injury levels (pre-treatment)
trend_car_KSI_pkm,Trend: car KSI/km,0.0049,0.0031,0.0054,0.1044,0.0768,0.0663,0,0,0,0,0,0,0,0,0,814,65020,1993,Injury trends (pre-treatment)
trend_car_slight_pkm,Trend: car slight/km,-0.0236,-0.0129,-0.0252,0.13,0.1068,0.1086,0,0,0,-0.0476,-0.0189,-0.0458,0,0,0,814,65020,1993,Injury trends (pre-treatment)
trend_cyc_KSI_pkm,Trend: cycling KSI/km,0.0051,-3e-4,9e-4,0.0888,0.0659,0.0612,0,0,0,0,0,0,0,0,0,814,65020,1993,Injury trends (pre-treatment)
trend_cyc_slight_pkm,Trend: cycling slight/km,-0.015,-0.0059,-0.0118,0.133,0.0948,0.1059,0,0,0,-0.0201,0,-0.0113,0,0,0,814,65020,1993,Injury trends (pre-treatment)
trend_other_KSI_pkm,Trend: other KSI/km,2e-4,2e-4,-5e-4,0.1022,0.0765,0.0675,0,0,0,0,0,0,0,0,0,814,65020,1993,Injury trends (pre-treatment)
trend_other_slight_pkm,Trend: other slight/km,-0.0149,-0.0053,-0.0127,0.1183,0.095,0.0891,0,0,0,0,0,0,0,0,0,814,65020,1993,Injury trends (pre-treatment)
trend_ped_KSI_pkm,Trend: pedestrian KSI/km,-0.0042,4e-4,0.0011,0.1205,0.0788,0.0851,0,0,0,0,0,0,0,0,0,814,65020,1993,Injury trends (pre-treatment)
trend_ped_slight_pkm,Trend: pedestrian slight/km,-0.0147,-0.0065,-0.0085,0.132,0.1001,0.0986,0,0,0,-0.0431,0,-0.0234,0,0,0,814,65020,1993,Injury trends (pre-treatment)
trend_total_pkm,Trend: total injuries/km,-0.0225,-0.0107,-0.0205,0.1173,0.1062,0.0904,-0.0176,0,-0.0142,-0.0548,-0.0291,-0.0457,0.0192,0.0048,0.0155,814,65020,1993,Injury trends (pre-treatment)
pct_A_road,% A-road,13.239,6.2631,12.5004,19.4236,14.2153,17.5336,0,0,0,0,0,0,23.0769,2.8571,22.9167,814,65020,1993,Road network
pct_B_road,% B-road,3.7751,2.7881,3.4745,11.5365,9.5628,10.0532,0,0,0,0,0,0,0,0,0,814,65020,1993,Road network
pct_minor_road,% Minor road,82.6172,90.7471,83.351,22.0156,17.0258,20.154,91.0101,100,90.9091,71.0673,86.8421,71.4286,100,100,100,814,65020,1993,Road network
