var_group,label,Treated_mean,Matched_mean,Treated_sd,Matched_sd,Treated_median,Matched_median
Demographic & road characteristics,% A-road,13.239,10.4341,19.4236,16.0958,0,0
Demographic & road characteristics,% Asian,29.1714,15.6845,25.6295,18.4338,18.9101,9.4555
Demographic & road characteristics,% B-road,3.7751,2.7959,11.5365,8.6595,0,0
Demographic & road characteristics,% Black,7.2981,5.7043,10.2097,6.263,3.8201,3.6092
Demographic & road characteristics,% Minor road,82.6172,86.4572,22.0156,18.3162,91.0101,96.9223
Demographic & road characteristics,% Mixed ethnicity,3.9664,3.7781,2.557,2.1309,3.6428,3.6164
Demographic & road characteristics,% White,54.5743,70.9858,26.8731,22.448,62.2229,77.5276
Demographic & road characteristics,% aged 15–24,NA,21.6419,NA,16.6182,NA,14.4578
Demographic & road characteristics,% aged 25–44,NA,30.0882,NA,10.2504,NA,28.6892
Demographic & road characteristics,% aged 45–64,NA,19.8511,NA,7.6542,NA,20.9679
Demographic & road characteristics,% aged 65–84,NA,10.1648,NA,7.2724,NA,9.0469
Demographic & road characteristics,% aged under 15,NA,15.3035,NA,8.5069,NA,15.6965
Demographic & road characteristics,% commuting: bicycle,1.6343,2.178,2.2844,1.9406,0.7394,1.5905
Demographic & road characteristics,% commuting: car passenger,2.5713,3.281,2.0626,1.816,2.2173,3.0908
Demographic & road characteristics,% commuting: drive car,18.4413,24.3095,8.3689,11.111,17.8182,23.7026
Demographic & road characteristics,% commuting: other mode,0.7576,0.392,1.1851,0.4704,0.4057,0.3175
Demographic & road characteristics,% commuting: taxi,0.579,0.4786,0.8123,0.5696,0.3448,0.3766
Demographic & road characteristics,% commuting: train,4.088,2.7001,4.1503,3.2522,2.7701,1.3793
Demographic & road characteristics,% commuting: underground/tram,0.6186,0.2488,1.3611,0.5834,0,0
Demographic & road characteristics,% commuting: walk,22.1498,12.7664,13.961,7.1394,19.0489,10.8385
Demographic & road characteristics,% households: 1 car,34.8052,39.1408,11.828,9.0991,35.7676,38.9509
Demographic & road characteristics,% households: 2+ cars,11.2154,18.4242,9.666,11.8653,8.3333,16.2829
Demographic & road characteristics,% working from home,4.465,2.1312,5.2149,1.7701,2.3461,1.6632
Demographic & road characteristics,Area (km²),NA,-3.0942,NA,0.7804,NA,-3.1496
Demographic & road characteristics,Distance to city centre (m),NA,8.2969,NA,0.564,NA,8.3567
Demographic & road characteristics,Index of Multiple Deprivation,35.6289,35.0988,18.8149,16.9316,30.5,32.5
Demographic & road characteristics,Population density (persons/km²),NA,8.8802,NA,0.7113,NA,8.9271
Demographic & road characteristics,Retail businesses (per km²),NA,2.8241,NA,0.8534,NA,2.8431
Demographic & road characteristics,Road density (m/km²),NA,9.7808,NA,0.4759,NA,9.8051
Demographic & road characteristics,Road length (km),NA,0.6537,NA,0.3542,NA,0.5893
Demographic & road characteristics,bus_Coach_pct,8.8293,6.4514,6.9101,3.5685,6.7898,5.9954
Injury levels,Mean: car/km,0.2121,0.1394,0.4848,0.1519,0.0994,0.0874
Injury levels,Mean: cycling/km,0.0646,0.0506,0.1239,0.0663,0.0185,0.0252
Injury levels,Mean: pedestrian/km,0.1311,0.0729,0.2114,0.0773,0.0664,0.0462
Injury levels,Mean: total injuries/km,0.4533,0.3164,0.5922,0.2673,0.3001,0.2269
Injury trends,Trend: car/km,-0.0213,-0.0213,0.1389,0.12,0,0
Injury trends,Trend: cycling/km,-0.0115,-0.0105,0.1266,0.1154,0,0
Injury trends,Trend: pedestrian/km,-0.0139,-0.0034,0.1287,0.1131,0,0
Injury trends,Trend: total injuries/km,-0.0225,-0.0183,0.1173,0.1091,-0.0176,-0.0131
