var_group,label,Treated_mean,Matched_mean,Treated_sd,Matched_sd,Treated_median,Matched_median
Demographic & road characteristics,% A-road,11.702,NA,22.8314,NA,0,NA
Demographic & road characteristics,% Asian,14.7193,NA,10.3198,NA,12.0879,NA
Demographic & road characteristics,% B-road,1.652,NA,10.775,NA,0,NA
Demographic & road characteristics,% Black,4.2038,NA,7.1757,NA,2.1978,NA
Demographic & road characteristics,% Minor road,85.5196,NA,25.8723,NA,100,NA
Demographic & road characteristics,% Mixed ethnicity,3.6459,NA,2.4295,NA,3.3058,NA
Demographic & road characteristics,% White,73.4493,NA,12.4598,NA,74.7253,NA
Demographic & road characteristics,% aged 15–24,43.2385,NA,21.4563,NA,40.3509,NA
Demographic & road characteristics,% aged 25–44,34.4104,NA,13.0821,NA,35.1648,NA
Demographic & road characteristics,% aged 45–64,12.7349,NA,9.1359,NA,10.8434,NA
Demographic & road characteristics,% aged 65–84,5.2133,NA,6.298,NA,3.4826,NA
Demographic & road characteristics,% aged under 15,4.4488,NA,4.6619,NA,3.125,NA
Demographic & road characteristics,% commuting: bicycle,2.7265,NA,3.2979,NA,1.7857,NA
Demographic & road characteristics,% commuting: car passenger,2.1834,NA,2.3204,NA,1.7857,NA
Demographic & road characteristics,% commuting: drive car,18.2392,NA,7.9019,NA,17.757,NA
Demographic & road characteristics,% commuting: other mode,1.5789,NA,1.9914,NA,0.9615,NA
Demographic & road characteristics,% commuting: taxi,0.4367,NA,0.9916,NA,0,NA
Demographic & road characteristics,% commuting: train,5.1467,NA,4.3045,NA,4.6512,NA
Demographic & road characteristics,% commuting: underground/tram,0.7177,NA,1.4789,NA,0,NA
Demographic & road characteristics,% commuting: walk,40.3854,NA,9.167,NA,41.0256,NA
Demographic & road characteristics,% households: 1 car,27.8008,NA,11.452,NA,25.3731,NA
Demographic & road characteristics,% households: 2+ cars,5.2424,NA,4.6443,NA,4.6512,NA
Demographic & road characteristics,% working from home,11.3639,NA,6.0263,NA,11.1111,NA
Demographic & road characteristics,Area (km²),-4.1878,NA,1.1077,NA,-4.3191,NA
Demographic & road characteristics,Distance to city centre (m),8.569,NA,0.8456,NA,8.9485,NA
Demographic & road characteristics,Index of Multiple Deprivation,20.7856,NA,11.4119,NA,19.5,NA
Demographic & road characteristics,Population density (persons/km²),9.0536,NA,1.017,NA,9.1917,NA
Demographic & road characteristics,Retail businesses (per km²),3.9662,NA,0.6114,NA,4.2354,NA
Demographic & road characteristics,Road density (m/km²),9.9114,NA,0.463,NA,9.9764,NA
Demographic & road characteristics,Road length (km),0.3891,NA,0.4159,NA,0.2299,NA
Demographic & road characteristics,bus_Coach_pct,17.0797,NA,8.3942,NA,15.8537,NA
Injury levels,Mean: car/km,0.1503,NA,0.3026,NA,0.0376,NA
Injury levels,Mean: cycling/km,0.0943,NA,0.1681,NA,0.0125,NA
Injury levels,Mean: other/km,0.0661,NA,0.1578,NA,0,NA
Injury levels,Mean: pedestrian/km,0.1974,NA,0.2577,NA,0.1054,NA
Injury levels,Mean: total injuries/km,0.5081,NA,0.536,NA,0.3362,NA
Injury trends,Trend: car/km,-0.0234,NA,0.1377,NA,0,NA
Injury trends,Trend: cycling/km,-0.0209,NA,0.1218,NA,0,NA
Injury trends,Trend: other/km,-0.0429,NA,0.1714,NA,0,NA
Injury trends,Trend: pedestrian/km,-0.0414,NA,0.1831,NA,-0.0157,NA
Injury trends,Trend: total injuries/km,-0.0361,NA,0.1206,NA,-0.0373,NA
