variable,label,group,n,mean_sd,median_iqr
pct_A_road,% A-road,Treated,814,13.239 (19.424),0.000 [0.000–23.077]
pct_B_road,% B-road,Treated,814,3.775 (11.537),0.000 [0.000–0.000]
pct_minor_road,% Minor road,Treated,814,82.617 (22.016),91.010 [71.067–100.000]
IMD,Index of Multiple Deprivation,Treated,814,35.629 (18.815),30.500 [20.100–52.800]
cars_one_pct,% households: 1 car,Treated,814,34.805 (11.828),35.768 [25.516–43.560]
cars_twoPlus_pct,% households: 2+ cars,Treated,814,11.215 (9.666),8.333 [4.082–15.705]
Drive_Car_pct,% commuting: drive car,Treated,814,18.441 (8.369),17.818 [12.514–23.153]
Passenger_Car_pct,% commuting: car passenger,Treated,814,2.571 (2.063),2.217 [1.061–3.738]
Walk_pct,% commuting: walk,Treated,814,22.150 (13.961),19.049 [10.139–33.182]
Bicycle_pct,% commuting: bicycle,Treated,814,1.634 (2.284),0.739 [0.000–2.096]
bus_Coach_pct,% commuting: bus/coach,Treated,814,8.829 (6.910),6.790 [4.217–10.704]
Train_pct,% commuting: train,Treated,814,4.088 (4.150),2.770 [1.170–5.739]
Underground_train_tram_pct,% commuting: underground/tram,Treated,814,0.619 (1.361),0.000 [0.000–0.494]
Taxi_pct,% commuting: taxi,Treated,814,0.579 (0.812),0.345 [0.000–0.878]
workAthome_pct,% working from home,Treated,814,4.465 (5.215),2.346 [1.139–5.549]
Other_pct,% commuting: other mode,Treated,814,0.758 (1.185),0.406 [0.000–0.930]
White_pct,% White,Treated,814,54.574 (26.873),62.223 [31.528–76.491]
Mixed_pct,% Mixed ethnicity,Treated,814,3.966 (2.557),3.643 [2.106–5.371]
Asian_pct,% Asian,Treated,814,29.171 (25.630),18.910 [10.139–41.918]
Black_pct,% Black,Treated,814,7.298 (10.210),3.820 [1.548–8.555]
trend_car_KSI_pkm,Trend: car KSI/km,Treated,814,0.005 (0.104),0.000 [0.000–0.000]
trend_car_slight_pkm,Trend: car slight/km,Treated,814,-0.024 (0.130),0.000 [-0.048–0.000]
trend_cyc_KSI_pkm,Trend: cycling KSI/km,Treated,814,0.005 (0.089),0.000 [0.000–0.000]
trend_cyc_slight_pkm,Trend: cycling slight/km,Treated,814,-0.015 (0.133),0.000 [-0.020–0.000]
trend_ped_KSI_pkm,Trend: pedestrian KSI/km,Treated,814,-0.004 (0.120),0.000 [0.000–0.000]
trend_ped_slight_pkm,Trend: pedestrian slight/km,Treated,814,-0.015 (0.132),0.000 [-0.043–0.000]
trend_other_KSI_pkm,Trend: other KSI/km,Treated,814,0.000 (0.102),0.000 [0.000–0.000]
trend_other_slight_pkm,Trend: other slight/km,Treated,814,-0.015 (0.118),0.000 [0.000–0.000]
trend_total_pkm,Trend: total injuries/km,Treated,814,-0.022 (0.117),-0.018 [-0.055–0.019]
mean_car_KSI_pkm,Mean: car KSI/km,Treated,814,0.015 (0.055),0.000 [0.000–0.000]
mean_car_slight_pkm,Mean: car slight/km,Treated,814,0.197 (0.475),0.088 [0.000–0.237]
mean_cyc_KSI_pkm,Mean: cycling KSI/km,Treated,814,0.012 (0.041),0.000 [0.000–0.000]
mean_cyc_slight_pkm,Mean: cycling slight/km,Treated,814,0.052 (0.103),0.006 [0.000–0.065]
mean_ped_KSI_pkm,Mean: pedestrian KSI/km,Treated,814,0.035 (0.078),0.000 [0.000–0.043]
mean_ped_slight_pkm,Mean: pedestrian slight/km,Treated,814,0.096 (0.178),0.045 [0.000–0.112]
mean_other_KSI_pkm,Mean: other KSI/km,Treated,814,0.011 (0.043),0.000 [0.000–0.000]
mean_other_slight_pkm,Mean: other slight/km,Treated,814,0.034 (0.075),0.000 [0.000–0.039]
mean_total_pkm,Mean: total injuries/km,Treated,814,0.453 (0.592),0.300 [0.148–0.554]
pct_A_road,% A-road,Unmatched controls,69183,6.158 (14.184),0.000 [0.000–0.709]
pct_B_road,% B-road,Unmatched controls,69183,2.868 (9.828),0.000 [0.000–0.000]
pct_minor_road,% Minor road,Unmatched controls,69183,90.772 (17.134),100.000 [87.097–100.000]
IMD,Index of Multiple Deprivation,Unmatched controls,69183,26.632 (18.275),22.100 [11.400–38.400]
cars_one_pct,% households: 1 car,Unmatched controls,69183,42.450 (8.878),42.735 [36.956–48.214]
cars_twoPlus_pct,% households: 2+ cars,Unmatched controls,69183,30.754 (17.240),28.571 [17.094–42.857]
Drive_Car_pct,% commuting: drive car,Unmatched controls,69183,39.653 (14.323),39.922 [29.412–49.057]
Passenger_Car_pct,% commuting: car passenger,Unmatched controls,69183,4.216 (2.651),3.806 [2.513–5.317]
Walk_pct,% commuting: walk,Unmatched controls,69183,7.739 (5.953),6.178 [3.814–9.804]
Bicycle_pct,% commuting: bicycle,Unmatched controls,69183,1.967 (2.666),1.235 [0.417–2.564]
bus_Coach_pct,% commuting: bus/coach,Unmatched controls,69183,8.615 (7.946),6.404 [3.478–10.857]
Train_pct,% commuting: train,Unmatched controls,69183,2.684 (3.765),1.339 [0.418–3.431]
Underground_train_tram_pct,% commuting: underground/tram,Unmatched controls,69183,0.448 (1.753),0.000 [0.000–0.300]
Taxi_pct,% commuting: taxi,Unmatched controls,69183,0.509 (0.904),0.000 [0.000–0.702]
workAthome_pct,% working from home,Unmatched controls,69183,4.106 (4.392),2.597 [1.255–5.323]
Other_pct,% commuting: other mode,Unmatched controls,69183,0.474 (0.849),0.000 [0.000–0.606]
White_pct,% White,Unmatched controls,69183,81.705 (19.828),88.775 [75.728–95.203]
Mixed_pct,% Mixed ethnicity,Unmatched controls,69183,2.753 (2.427),2.299 [0.929–4.029]
Asian_pct,% Asian,Unmatched controls,69183,9.994 (15.158),4.464 [1.413–11.332]
Black_pct,% Black,Unmatched controls,69183,3.632 (5.651),1.504 [0.000–4.730]
trend_car_KSI_pkm,Trend: car KSI/km,Unmatched controls,69183,0.003 (0.075),0.000 [0.000–0.000]
trend_car_slight_pkm,Trend: car slight/km,Unmatched controls,69183,-0.013 (0.105),0.000 [-0.016–0.000]
trend_cyc_KSI_pkm,Trend: cycling KSI/km,Unmatched controls,69183,-0.000 (0.064),0.000 [0.000–0.000]
trend_cyc_slight_pkm,Trend: cycling slight/km,Unmatched controls,69183,-0.006 (0.092),0.000 [0.000–0.000]
trend_ped_KSI_pkm,Trend: pedestrian KSI/km,Unmatched controls,69183,0.000 (0.077),0.000 [0.000–0.000]
trend_ped_slight_pkm,Trend: pedestrian slight/km,Unmatched controls,69183,-0.006 (0.098),0.000 [0.000–0.000]
trend_other_KSI_pkm,Trend: other KSI/km,Unmatched controls,69183,0.000 (0.075),0.000 [0.000–0.000]
trend_other_slight_pkm,Trend: other slight/km,Unmatched controls,69183,-0.005 (0.093),0.000 [0.000–0.000]
trend_total_pkm,Trend: total injuries/km,Unmatched controls,69183,-0.011 (0.106),0.000 [-0.028–0.004]
mean_car_KSI_pkm,Mean: car KSI/km,Unmatched controls,69183,0.005 (0.033),0.000 [0.000–0.000]
mean_car_slight_pkm,Mean: car slight/km,Unmatched controls,69183,0.058 (0.200),0.000 [0.000–0.070]
mean_cyc_KSI_pkm,Mean: cycling KSI/km,Unmatched controls,69183,0.004 (0.020),0.000 [0.000–0.000]
mean_cyc_slight_pkm,Mean: cycling slight/km,Unmatched controls,69183,0.014 (0.085),0.000 [0.000–0.005]
mean_ped_KSI_pkm,Mean: pedestrian KSI/km,Unmatched controls,69183,0.007 (0.039),0.000 [0.000–0.000]
mean_ped_slight_pkm,Mean: pedestrian slight/km,Unmatched controls,69183,0.017 (0.065),0.000 [0.000–0.018]
mean_other_KSI_pkm,Mean: other KSI/km,Unmatched controls,69183,0.005 (0.035),0.000 [0.000–0.000]
mean_other_slight_pkm,Mean: other slight/km,Unmatched controls,69183,0.011 (0.104),0.000 [0.000–0.000]
mean_total_pkm,Mean: total injuries/km,Unmatched controls,69183,0.121 (0.427),0.049 [0.000–0.147]
log1p_road_length_km,Road length (km),Matched controls,999,0.625 (0.373),0.571 [0.383–0.782]
log1p_road_density_m_km2,Road density (m/km²),Matched controls,999,9.836 (0.452),9.862 [9.602–10.126]
log_area_km2,Area (km²),Matched controls,999,-3.243 (0.894),-3.262 [-3.780–-2.760]
pct_A_road,% A-road,Matched controls,999,11.011 (16.806),0.000 [0.000–19.048]
pct_B_road,% B-road,Matched controls,999,3.800 (10.620),0.000 [0.000–0.000]
pct_minor_road,% Minor road,Matched controls,999,84.501 (20.456),95.745 [72.614–100.000]
log1p_dist_citycentre,Distance to city centre (m),Matched controls,999,8.444 (0.596),8.485 [8.108–8.850]
log1p_pop_density,Population density (persons/km²),Matched controls,999,8.886 (0.816),8.988 [8.455–9.420]
log1p_business_retail_per_km2,Retail businesses (per km²),Matched controls,999,2.960 (0.813),2.982 [2.390–3.538]
IMD,Index of Multiple Deprivation,Matched controls,999,35.408 (18.240),33.100 [20.900–49.450]
cars_one_pct,% households: 1 car,Matched controls,999,39.516 (8.826),39.759 [33.333–45.602]
cars_twoPlus_pct,% households: 2+ cars,Matched controls,999,17.373 (11.695),15.179 [8.247–23.545]
Drive_Car_pct,% commuting: drive car,Matched controls,999,25.688 (11.357),24.599 [16.752–33.045]
Passenger_Car_pct,% commuting: car passenger,Matched controls,999,3.296 (2.014),3.061 [1.849–4.545]
Walk_pct,% commuting: walk,Matched controls,999,13.999 (8.338),11.250 [7.521–20.000]
Bicycle_pct,% commuting: bicycle,Matched controls,999,1.880 (1.957),1.299 [0.434–2.758]
bus_Coach_pct,% commuting: bus/coach,Matched controls,999,8.362 (7.020),6.322 [4.112–10.175]
Train_pct,% commuting: train,Matched controls,999,2.861 (3.502),1.550 [0.517–3.825]
Underground_train_tram_pct,% commuting: underground/tram,Matched controls,999,0.369 (1.065),0.000 [0.000–0.297]
Taxi_pct,% commuting: taxi,Matched controls,999,0.573 (0.694),0.403 [0.000–0.899]
workAthome_pct,% working from home,Matched controls,999,2.997 (3.574),1.835 [0.988–3.448]
Other_pct,% commuting: other mode,Matched controls,999,0.512 (0.674),0.382 [0.000–0.746]
White_pct,% White,Matched controls,999,64.608 (26.911),73.828 [44.641–86.616]
Mixed_pct,% Mixed ethnicity,Matched controls,999,3.537 (2.234),3.239 [1.925–4.762]
Asian_pct,% Asian,Matched controls,999,21.065 (23.414),10.985 [4.600–28.614]
Black_pct,% Black,Matched controls,999,6.088 (7.547),3.147 [1.031–7.715]
age_under15_pct,% aged under 15,Matched controls,999,15.998 (8.912),16.279 [8.433–22.952]
age_15to24_pct,% aged 15–24,Matched controls,999,19.441 (13.668),15.123 [10.955–21.122]
age_25to44_pct,% aged 25–44,Matched controls,999,32.530 (10.928),30.189 [25.760–37.487]
age_45to64_pct,% aged 45–64,Matched controls,999,20.132 (7.325),21.094 [15.838–25.000]
age_65plus_pct,% aged 65+,Matched controls,999,9.750 (7.077),8.547 [4.767–12.916]
trend_car_KSI_pkm,Trend: car KSI/km,Matched controls,999,0.007 (0.074),0.000 [0.000–0.000]
trend_car_slight_pkm,Trend: car slight/km,Matched controls,999,-0.025 (0.110),0.000 [-0.043–0.000]
trend_cyc_KSI_pkm,Trend: cycling KSI/km,Matched controls,999,0.002 (0.059),0.000 [0.000–0.000]
trend_cyc_slight_pkm,Trend: cycling slight/km,Matched controls,999,-0.015 (0.104),0.000 [-0.011–0.000]
trend_ped_KSI_pkm,Trend: pedestrian KSI/km,Matched controls,999,-0.003 (0.088),0.000 [0.000–0.000]
trend_ped_slight_pkm,Trend: pedestrian slight/km,Matched controls,999,-0.008 (0.102),0.000 [-0.027–0.000]
trend_other_KSI_pkm,Trend: other KSI/km,Matched controls,999,0.002 (0.067),0.000 [0.000–0.000]
trend_other_slight_pkm,Trend: other slight/km,Matched controls,999,-0.007 (0.088),0.000 [0.000–0.000]
trend_total_pkm,Trend: total injuries/km,Matched controls,999,-0.020 (0.092),-0.013 [-0.046–0.016]
mean_car_KSI_pkm,Mean: car KSI/km,Matched controls,999,0.007 (0.017),0.000 [0.000–0.000]
