variable,label,group,n,mean,sd,median,p25,p75
log1p_road_length_km,Road length (km),England,613,0.694,0.431,0.6348,0.3862,0.9024
log1p_road_density_m_km2,Road density (m/km²),England,613,9.8911,0.4927,9.928,9.6517,10.21
log_area_km2,Area (km²),England,613,-3.2015,0.9418,-3.247,-3.8417,-2.6043
pct_A_road,% A-road,England,613,13.5558,17.5372,3.0303,0,23.8095
pct_B_road,% B-road,England,613,4.2416,10.4331,0,0,0
pct_minor_road,% Minor road,England,613,81.8437,19.9662,87.7551,69.2308,100
log1p_dist_citycentre,Distance to city centre (m),England,613,8.8844,0.5613,9.0646,8.2779,9.3637
log1p_pop_density,Population density (persons/km²),England,613,8.9624,0.8588,9.0741,8.3906,9.6601
log1p_business_retail_per_km2,Retail businesses (per km²),England,613,3.4375,0.6371,3.3759,2.9802,3.8448
IMD,Index of Multiple Deprivation,England,613,40.4414,18.1001,36.9,25.8,56.3
cars_one_pct,% households: 1 car,England,613,37.4217,10.3739,38.3562,29.6296,44.6237
cars_twoPlus_pct,% households: 2+ cars,England,613,13.2335,10.0024,10.828,5.6,18.8406
Drive_Car_pct,% commuting: drive car,England,613,18.8269,8.0616,17.8947,12.5541,23.5075
Passenger_Car_pct,% commuting: car passenger,England,613,2.6985,1.9562,2.2857,1.1905,3.7975
Walk_pct,% commuting: walk,England,613,15.9092,8.7517,12.9944,8.5714,22.3881
Bicycle_pct,% commuting: bicycle,England,613,1.2761,1.6904,0.5952,0.1972,1.6746
bus_Coach_pct,% commuting: bus/coach,England,613,6.124,3.2738,5.3922,3.719,7.6271
Train_pct,% commuting: train,England,613,3.6628,3.6615,2.2624,1.105,5.1903
Underground_train_tram_pct,% commuting: underground/tram,England,613,0.583,1.298,0,0,0.5025
Taxi_pct,% commuting: taxi,England,613,0.6198,0.7114,0.4619,0,0.9302
workAthome_pct,% working from home,England,613,2.2029,1.8712,1.6438,0.9756,2.9316
Other_pct,% commuting: other mode,England,613,0.4883,0.525,0.3968,0,0.7143
White_pct,% White,England,613,48.6572,27.0143,50.1075,23.8876,72.0497
Mixed_pct,% Mixed ethnicity,England,613,4.0156,2.398,3.8265,2.1898,5.5
Asian_pct,% Asian,England,613,33.2089,25.9589,22.7011,12.1622,55.0193
Black_pct,% Black,England,613,7.3298,7.639,4.3668,1.8519,9.6639
age_under15_pct,% aged under 15,England,613,15.8054,10.6062,16.5517,5.0435,25.1667
age_15to24_pct,% aged 15–24,England,613,22.9353,14.4903,17.8694,13.8298,25.1825
age_25to44_pct,% aged 25–44,England,613,35.1336,12.8157,31.068,27.115,42.1642
age_45to64_pct,% aged 45–64,England,613,16.7015,7.2837,17.3333,11.271,21.6359
age_65plus_pct,% aged 65+,England,613,6.9646,6.1428,5.6075,2.5806,9.6346
trend_car_KSI_pkm,Trend: car KSI/km,England,613,0.0043,0.0801,0,0,0
trend_car_slight_pkm,Trend: car slight/km,England,613,-0.0245,0.129,0,-0.0519,0.0086
trend_cyc_KSI_pkm,Trend: cycling KSI/km,England,613,0.0062,0.0706,0,0,0
trend_cyc_slight_pkm,Trend: cycling slight/km,England,613,-0.0157,0.1351,0,-0.0177,0
