variable,label,smd_unmatched,smd_after_S1,balanced_after_S1
log1p_road_length_km,Road length (km),-0.1056,-0.0125,TRUE
log1p_road_density_m_km2,Road density (m/km²),0.622,0.2327,FALSE
log_area_km2,Area (km²),-0.5739,-0.2309,FALSE
pct_A_road,% A-road,0.4487,0.1975,FALSE
pct_B_road,% B-road,0.1454,0.1579,FALSE
pct_minor_road,% Minor road,-0.4663,-0.258,FALSE
log1p_dist_citycentre,Distance to city centre (m),0.7629,0.7442,FALSE
log1p_pop_density,Population density (persons/km²),0.6393,0.2401,FALSE
log1p_business_retail_per_km2,Retail businesses (per km²),1.6924,0.8308,FALSE
IMD,Index of Multiple Deprivation,0.7637,0.3917,FALSE
cars_one_pct,% households: 1 car,-0.5244,-0.2722,FALSE
cars_twoPlus_pct,% households: 2+ cars,-1.3813,-0.698,FALSE
Drive_Car_pct,% commuting: drive car,-1.7011,-0.8435,FALSE
Passenger_Car_pct,% commuting: car passenger,-0.5791,-0.4474,FALSE
Walk_pct,% commuting: walk,1.1708,0.5427,FALSE
Bicycle_pct,% commuting: bicycle,-0.3382,-0.2132,FALSE
bus_Coach_pct,bus_Coach_pct,-0.068,-0.107,FALSE
Train_pct,% commuting: train,0.4022,0.2088,FALSE
Underground_train_tram_pct,% commuting: underground/tram,0.1523,0.3918,FALSE
Taxi_pct,% commuting: taxi,0.2997,0.0829,TRUE
workAthome_pct,% working from home,-0.2006,0.0115,TRUE
Other_pct,% commuting: other mode,0.2258,0.1563,FALSE
White_pct,% White,-1.2775,-0.6194,FALSE
Mixed_pct,% Mixed ethnicity,0.3796,0.1767,FALSE
Asian_pct,% Asian,1.0121,0.4441,FALSE
Black_pct,% Black,0.4888,0.3155,FALSE
age_under15_pct,% aged under 15,-0.2103,-0.1138,FALSE
age_15to24_pct,% aged 15–24,0.828,0.3654,FALSE
age_25to44_pct,% aged 25–44,0.6997,0.4045,FALSE
age_45to64_pct,% aged 45–64,-1.2164,-0.63,FALSE
age_65to84_pct,% aged 65–84,-1.0723,-0.6067,FALSE
