variable,label,smd_unmatched,smd_after_S1,balanced_after_S1
log1p_road_length_km,Road length (km),0.0639,0.0225,TRUE
log1p_road_density_m_km2,Road density (m/km²),0.577,0.3441,FALSE
log_area_km2,Area (km²),-0.3473,-0.2172,FALSE
pct_A_road,% A-road,0.3492,-0.1088,FALSE
pct_B_road,% B-road,-0.0906,-0.1158,FALSE
pct_minor_road,% Minor road,-0.2968,0.1333,FALSE
log1p_dist_citycentre,Distance to city centre (m),-0.0823,-0.0681,TRUE
log1p_pop_density,Population density (persons/km²),0.5211,0.3551,FALSE
log1p_business_retail_per_km2,Retail businesses (per km²),2.5185,1.6292,FALSE
IMD,Index of Multiple Deprivation,-0.3559,-0.2097,FALSE
cars_one_pct,% households: 1 car,-1.3803,-1.0543,FALSE
cars_twoPlus_pct,% households: 2+ cars,-1.5168,-1.0546,FALSE
Drive_Car_pct,% commuting: drive car,-2.5725,-1.5372,FALSE
Passenger_Car_pct,% commuting: car passenger,-1.0619,-0.6511,FALSE
Walk_pct,% commuting: walk,3.7257,2.201,FALSE
Bicycle_pct,% commuting: bicycle,0.3414,-0.0542,TRUE
bus_Coach_pct,% commuting: bus/coach,0.0152,-0.3399,FALSE
Train_pct,% commuting: train,0.207,0.3999,FALSE
Underground_train_tram_pct,% commuting: underground/tram,0.0187,0.0821,TRUE
Taxi_pct,% commuting: taxi,-0.288,-0.038,TRUE
workAthome_pct,% working from home,0.3,0.2238,FALSE
Other_pct,% commuting: other mode,0.4129,0.3941,FALSE
White_pct,% White,-1.3396,-0.8494,FALSE
Mixed_pct,% Mixed ethnicity,1.0317,0.6618,FALSE
Asian_pct,% Asian,0.9587,0.6539,FALSE
Black_pct,% Black,0.3589,0.1389,FALSE
age_under15_pct,% aged under 15,-1.7657,-1.016,FALSE
age_15to24_pct,% aged 15–24,2.0213,1.3563,FALSE
age_25to44_pct,% aged 25–44,0.4771,0.075,TRUE
age_45to64_pct,% aged 45–64,-1.6584,-1.1137,FALSE
age_65plus_pct,% aged 65+,-1.288,-0.9695,FALSE
