variable,label,smd_preS2,smd_postS2,var_type,balanced,note
trend_car_KSI_pkm,Trend: car KSI/km,0.0151,0.026,Trend,TRUE,raw scale
trend_car_slight_pkm,Trend: car slight/km,-0.1405,0.0462,Trend,TRUE,raw scale
trend_cyc_KSI_pkm,Trend: cycling KSI/km,-0.013,0.017,Trend,TRUE,raw scale
trend_cyc_slight_pkm,Trend: cycling slight/km,-0.2111,0.0084,Trend,TRUE,raw scale
trend_ped_KSI_pkm,Trend: pedestrian KSI/km,-0.0914,-0.0329,Trend,TRUE,raw scale
trend_ped_slight_pkm,Trend: pedestrian slight/km,-0.2315,-0.0908,Trend,TRUE,raw scale
trend_other_KSI_pkm,Trend: other KSI/km,-0.1314,-0.0174,Trend,TRUE,raw scale
trend_other_slight_pkm,Trend: other slight/km,-0.3284,-0.1156,Trend,FALSE,raw scale
trend_total_pkm,Trend: total injuries/km,-0.2138,0.053900000000000003,Trend,TRUE,raw scale
log1p_mean_car_KSI_pkm,Mean: car KSI/km (log),0.2764,0.1478,Level (log),FALSE,log1p scale — matches optimisation scale
log1p_mean_car_slight_pkm,Mean: car slight/km (log),0.5276,0.1561,Level (log),FALSE,log1p scale — matches optimisation scale
log1p_mean_cyc_KSI_pkm,Mean: cycling KSI/km (log),0.419,0.1772,Level (log),FALSE,log1p scale — matches optimisation scale
log1p_mean_cyc_slight_pkm,Mean: cycling slight/km (log),0.6812,0.2475,Level (log),FALSE,log1p scale — matches optimisation scale
log1p_mean_ped_KSI_pkm,Mean: pedestrian KSI/km (log),0.68,0.3493,Level (log),FALSE,log1p scale — matches optimisation scale
log1p_mean_ped_slight_pkm,Mean: pedestrian slight/km (log),0.9217,0.4764,Level (log),FALSE,log1p scale — matches optimisation scale
log1p_mean_other_KSI_pkm,Mean: other KSI/km (log),0.347,0.1427,Level (log),FALSE,log1p scale — matches optimisation scale
log1p_mean_other_slight_pkm,Mean: other slight/km (log),0.531,0.2349,Level (log),FALSE,log1p scale — matches optimisation scale
log1p_mean_total_pkm,Mean: total injuries/km (log),1.3709,0.5877,Level (log),FALSE,log1p scale — matches optimisation scale
