OA,weights,country,LAD24CD,rank,cumulative_weight_share_pct
E00057041,4.528721174004193,England,E08000035,1,0.2
E00055881,4.528721174004193,England,E08000034,2,0.4
E00186674,4.528721174004193,England,E07000110,3,0.6
E00069336,4.528721174004193,England,E06000016,4,0.8
E00056169,4.528721174004193,England,E08000034,5,0.9
E00029662,4.528721174004193,England,E08000007,6,1.1
E00055994,4.528721174004193,England,E08000034,7,1.3
E00070193,4.528721174004193,England,E06000018,8,1.5
E00027425,4.528721174004193,England,E08000004,9,1.7
E00080417,4.528721174004193,England,E06000033,10,1.9
E00189780,4.528721174004193,England,E06000035,11,2.1
E00026529,4.04,England,E08000003,12,2.3
E00030412,4.04,England,E08000003,13,2.4
E00026973,3.8817610062893086,England,E08000004,14,2.6
E00171892,3.8817610062893086,England,E06000008,15,2.7
E00039405,3.8817610062893086,England,E08000018,16,2.9
E00181808,3.8817610062893086,England,E08000004,17,3.1
E00063723,3.8817610062893086,England,E06000008,18,3.2
E00138498,3.8817610062893086,England,E06000062,19,3.4
E00186768,3.2348008385744236,England,E07000110,20,3.5
