OA,weights,country,LAD24CD,rank,cumulative_weight_share_pct
S00141646,3.7313432835820897,Scotland,S12000036,1,3
S00144073,3.109452736318408,Scotland,S12000036,2,5.5
S00144385,3.109452736318408,Scotland,S12000036,3,8
S00144009,2.487562189054726,Scotland,S12000036,4,10
S00169551,2.487562189054726,Scotland,S12000050,5,11.9
S00170456,2.487562189054726,Scotland,S12000050,6,13.9
S00136034,1.8656716417910448,Scotland,S12000033,7,15.4
S00158642,1.8656716417910448,Scotland,S12000049,8,16.9
S00176037,1.8656716417910448,Scotland,S12000050,9,18.4
S00158438,1.8656716417910448,Scotland,S12000049,10,19.9
S00170072,1.8656716417910448,Scotland,S12000050,11,21.4
S00157912,1.8656716417910448,Scotland,S12000049,12,22.9
S00159257,1.8656716417910448,Scotland,S12000049,13,24.4
S00143776,1.8656716417910448,Scotland,S12000036,14,25.9
S00141738,1.8656716417910448,Scotland,S12000036,15,27.4
S00143858,1.8656716417910448,Scotland,S12000036,16,28.9
S00142231,1.8656716417910448,Scotland,S12000036,17,30.3
S00143782,1.8656716417910448,Scotland,S12000036,18,31.8
S00136104,1.243781094527363,Scotland,S12000033,19,32.8
S00148082,1.243781094527363,Scotland,S12000042,20,33.8
