scheme,variable,label,smd_before,smd_after
Bath,log1p_road_length_km,Road length (km),-0.476,-0.0224
Bath,log1p_road_density_m_km2,Road density (m/km²),0.3281,-0.1157
Bath,log_area_km2,Area (km²),-0.6595,0.0018
Bath,pct_A_road,% A-road,0.9188,0.9583
Bath,pct_B_road,% B-road,-0.2135,0.2017
Bath,pct_minor_road,% Minor road,-0.7584,-0.9626
Bath,log1p_dist_citycentre,Distance to city centre (m),1.4656,2.1143
Bath,log1p_pop_density,Population density (persons/km²),0.5067,-0.1677
Bath,log1p_business_retail_per_km2,Retail businesses (per km²),1.3373,0.4409
Bath,IMD,Index of Multiple Deprivation,-0.5937,-0.5585
Bath,cars_one_pct,% households: 1 car,-0.2042,-0.2746
Bath,cars_twoPlus_pct,% households: 2+ cars,-1.4207,-0.4855
Bath,Drive_Car_pct,% commuting: drive car,-2.1312,-1.1443
Bath,Passenger_Car_pct,% commuting: car passenger,-1.604,-0.9632
Bath,Walk_pct,% commuting: walk,3.0686,1.0727
Bath,Bicycle_pct,% commuting: bicycle,-0.1606,-0.8042
Bath,bus_Coach_pct,bus_Coach_pct,-0.5234,-0.3482
Bath,Train_pct,% commuting: train,0.9932,0.4475
Bath,Underground_train_tram_pct,% commuting: underground/tram,-0.1689,0.038
Bath,Taxi_pct,% commuting: taxi,-0.5315,-0.2231
Bath,workAthome_pct,% working from home,1.2212,0.6695
Bath,Other_pct,% commuting: other mode,0.415,0.3466
Bath,White_pct,% White,0.2464,-0.1488
Bath,Mixed_pct,% Mixed ethnicity,0.6357,0.3988
Bath,Asian_pct,% Asian,-0.2302,0.222
Bath,Black_pct,% Black,-0.5494,-0.3446
Bath,age_under15_pct,% aged under 15,-2.1982,-1.1003
Bath,age_15to24_pct,% aged 15–24,1.3261,0.4361
Bath,age_25to44_pct,% aged 25–44,0.3333,0.0507
Bath,age_45to64_pct,% aged 45–64,-0.634,-0.1114
Bath,age_65to84_pct,% aged 65–84,-0.3403,-0.1291
Bath,trend_car_pkm,Trend: car/km,0.0485,0.0754
Bath,trend_cyc_pkm,Trend: cycling/km,0.2693,0.0505
Bath,trend_ped_pkm,Trend: pedestrian/km,-0.0877,0.0514
Bath,trend_total_pkm,Trend: total injuries/km,-0.0187,0.0254
Bath,log1p_mean_car_pkm,Mean: car/km (log),0.1166,-0.0266
Bath,log1p_mean_cyc_pkm,Mean: cycling/km (log),0.4642,0.1083
