variable,label,treated_mean,treated_sd,control_mean,control_sd
road_density_m_km2,road_density_m_km2,22015.9378,9248.2912,19247.5087,7107.0186
road_length_km,road_length_km,1.246,1.2939,1.154,1.0236
pct_A_road,% A road,14.0635,18.1592,13.2898,17.4919
pct_B_road,% B road,4.4439,10.9112,3.8697,10.1126
pct_minor_road,% Minor road,81.2199,20.3291,82.1317,19.8828
dist_BUA_centroid,dist_BUA_centroid,1943.9683,1139.6065,2344.3911,1215.3782
pop_density,pop_density,11196.4325,10299.9854,8914.1484,7829.4969
area_km2,area_km2,0.0662,0.0803,0.0687,0.0715
business_retail_per_km2,business_retail_per_km2,39.9929,32.7342,27.5435,22.8739
IMD,IMD,40.6451,18.2469,34.3808,15.8312
cars_none_pct,% No car,49.7533,17.937,42.6715,19.2686
cars_one_pct,% 1 car,37.039,10.9634,38.8208,9.4363
cars_twoPlus_pct,% 2+ cars,13.1585,9.9376,16.3099,11.4727
Drive_Car_pct,% Drive to work,35.1086,12.9921,39.325,14.2654
Passenger_Car_pct,% Passenger car,5.5793,4.1601,5.7219,3.227
Walk_pct,% Walk to work,30.2182,12.8618,26.8749,12.707
Bicycle_pct,% Cycle to work,2.3072,3.0227,2.8086,2.2942
bus_Coach_pct,% Bus/coach,12.4631,6.9436,12.2488,6.7989
Train_pct,% Train,6.407,5.3899,4.9277,4.9803
Underground_train_tram_pct,% Underground/tram,1.1561,2.5572,1.0906,2.4246
Taxi_pct,% Taxi,1.3348,1.6259,0.9625,1.3127
workAthome_pct,% Work from home,3.9801,2.8761,3.5428,2.3674
Motorcycle_pct,% Motorcycle,0.3145,0.5808,0.4756,0.6195
Other_pct,% Other commute,0.9697,1.0021,0.7123,0.8559
White_pct,% White,48.0213,27.3017,66.2437,21.5577
Mixed_pct,% Mixed ethnicity,4.054,2.4983,3.902,2.151
Asian_pct,% Asian,34.3132,27.3968,18.9015,18.3451
Black_pct,% Black,8.2152,10.6277,6.3379,7.0033
Other_ethnicity_pct,% Other ethnicity,5.3124,5.0966,3.9308,3.7591
age_under15_pct,% Under 15,15.883,10.7991,14.6484,8.2584
age_15to24_pct,% 15-24,24.2034,17.9516,22.7959,19.9002
age_25to44_pct,% 25-44,35.5703,13.7901,32.0697,11.8569
age_45to64_pct,% 45-64,16.3593,7.7187,19.5501,8.21
age_65to84_pct,% 65-84,6.7652,5.7783,9.042,6.5345
X85plus_pct,% 85+,0.9926,1.5387,1.3955,1.8988
trend_total_pkm,Trend: total injuries/km,-0.0304,2.2055,-0.1083,2.1214
mean_total_pkm,mean_total_pkm,0.48,0.5274,0.4962,0.4827
