scheme,variable,label,smd_before,smd_after
Bath,log1p_road_length_km,Road length (log),-0.476,-0.144
Bath,log1p_pop_density,Pop. density (log),0.5067,-0.1527
Bath,log1p_dist_citycentre,Dist. city centre (log),1.4656,1.7021
Bath,log1p_road_density_m_km2,Road density (log),0.3281,-0.3125
Bath,log1p_business_retail_per_km2,Retail density (log),1.3373,0.4015
Bath,log_area_km2,Area (log),-0.6595,-0.0535
Bath,pct_A_road,% A road,0.9188,0.5743
Bath,pct_B_road,% B road,-0.2135,-0.01
Bath,pct_minor_road,% Minor road,-0.7584,-0.5402
Bath,IMD,IMD,-0.5937,-0.5002
Bath,cars_one_pct,% 1 car,-0.2042,-0.2599
Bath,cars_twoPlus_pct,% 2+ cars,-1.4207,-0.5157
Bath,Drive_Car_pct,% Drive to work,-2.1312,-1.2147
Bath,Passenger_Car_pct,% Passenger car,-1.604,-0.9951
Bath,Walk_pct,% Walk to work,3.0686,0.9785
Bath,Bicycle_pct,% Cycle to work,-0.1606,-0.6018
Bath,bus_Coach_pct,% Bus/coach,-0.5234,-0.498
Bath,Train_pct,% Train,0.9932,0.5614
Bath,Underground_train_tram_pct,% Underground/tram,-0.1689,0.1343
Bath,Taxi_pct,% Taxi,-0.5315,-0.232
Bath,workAthome_pct,% Work from home,1.2212,0.8909
Bath,Other_pct,% Other commute,0.415,0.1042
Bath,White_pct,% White,0.2464,0.1355
Bath,Mixed_pct,% Mixed ethnicity,0.6357,0.27
Bath,Asian_pct,% Asian,-0.2302,-0.0581
Bath,Black_pct,% Black,-0.5494,-0.5501
Bath,trend_total_pkm,Trend: total injuries/km,-0.0187,0.0237
Bath,log1p_mean_total_pkm,Level: mean total injuries/km (log),0.5826,-0.172
Birmingham,log1p_road_length_km,Road length (log),-0.3166,-0.0378
Birmingham,log1p_pop_density,Pop. density (log),0.7216,0.0715
Birmingham,log1p_dist_citycentre,Dist. city centre (log),-0.4671,-0.0823
Birmingham,log1p_road_density_m_km2,Road density (log),0.3779,-0.0608
Birmingham,log1p_business_retail_per_km2,Retail density (log),2.2176,0.894
Birmingham,log_area_km2,Area (log),-0.7787,-0.1702
Birmingham,pct_A_road,% A road,0.2437,-0.1169
Birmingham,pct_B_road,% B road,0.4508,0.0872
Birmingham,pct_minor_road,% Minor road,-0.49,0.0474
Birmingham,IMD,IMD,0.7567,0.2337
Birmingham,cars_one_pct,% 1 car,-0.5208,0.0597
Birmingham,cars_twoPlus_pct,% 2+ cars,-2.017,-0.6493
Birmingham,Drive_Car_pct,% Drive to work,-1.8817,-0.3334
Birmingham,Passenger_Car_pct,% Passenger car,-1.6146,-0.8985
Birmingham,Walk_pct,% Walk to work,1.7327,0.4855
Birmingham,Bicycle_pct,% Cycle to work,-0.6138,-0.85
Birmingham,bus_Coach_pct,% Bus/coach,0.3741,-0.0321
Birmingham,Train_pct,% Train,0.9168,0.5942
Birmingham,Underground_train_tram_pct,% Underground/tram,0.3771,0.3647
Birmingham,Taxi_pct,% Taxi,-0.0372,0.0601
Birmingham,workAthome_pct,% Work from home,-0.301,0.0573
Birmingham,Other_pct,% Other commute,0.0706,-0.0299
Birmingham,White_pct,% White,-1.8349,-1.0571
Birmingham,Mixed_pct,% Mixed ethnicity,1.1872,0.5955
Birmingham,Asian_pct,% Asian,0.8168,0.61240000000000006
Birmingham,Black_pct,% Black,1.4616,0.8623
Birmingham,trend_total_pkm,Trend: total injuries/km,-0.0642,0.0015
Birmingham,log1p_mean_total_pkm,Level: mean total injuries/km (log),1.4334,0.3088
Bradford,log1p_road_length_km,Road length (log),0.1177,0.2022
Bradford,log1p_pop_density,Pop. density (log),0.5458,0.209
Bradford,log1p_dist_citycentre,Dist. city centre (log),1.9069,1.8845
Bradford,log1p_road_density_m_km2,Road density (log),0.7521,0.5206
Bradford,log1p_business_retail_per_km2,Retail density (log),1.5105,0.675
Bradford,log_area_km2,Area (log),-0.3752,-0.0813
Bradford,pct_A_road,% A road,0.397,0.1137
Bradford,pct_B_road,% B road,-0.1052,-0.123
Bradford,pct_minor_road,% Minor road,-0.2892,-0.02
Bradford,IMD,IMD,1.218,0.7367
Bradford,cars_one_pct,% 1 car,-0.3711,-0.0696
Bradford,cars_twoPlus_pct,% 2+ cars,-0.9213,-0.1618
Bradford,Drive_Car_pct,% Drive to work,-1.3746,-0.5432
Bradford,Passenger_Car_pct,% Passenger car,0.1293,0.2216
Bradford,Walk_pct,% Walk to work,0.3676,-0.1395
Bradford,Bicycle_pct,% Cycle to work,-0.8289,-0.9973
Bradford,bus_Coach_pct,% Bus/coach,0.1329,-0.0319
Bradford,Train_pct,% Train,0.2219,-0.0305
Bradford,Underground_train_tram_pct,% Underground/tram,-0.2859,-0.1445
Bradford,Taxi_pct,% Taxi,0.6983,0.49370000000000003
Bradford,workAthome_pct,% Work from home,-0.5105,-0.2083
Bradford,Other_pct,% Other commute,0.3055,0.2586
Bradford,White_pct,% White,-2.1004,-1.2647
Bradford,Mixed_pct,% Mixed ethnicity,0.0117,-0.24
