scheme,balance_group,n_variables,mean_abs_smd_before,mean_abs_smd_after,max_abs_smd_after,n_imbalanced_0_10,n_imbalanced_0_05,worst_variable,all_balanced_0_10,all_balanced_0_05
Bath,Road/network covariates,9,0.7787,0.384,0.8726,8,8,% Minor road,FALSE,FALSE
Bath,Socio-demographic covariates,13,1.3182,0.6824,1.2471,12,12,% Car commute,FALSE,FALSE
Bath,Overall pre-treatment trend,1,0.1121,0.0071,0.0071,0,0,Trend: total injuries/km,TRUE,TRUE
Bath,Pre-COVID injury level,1,0.302,0.0358,0.0358,0,0,Level: pre-COVID injuries/km (log),TRUE,TRUE
Bath,COVID response change,1,0.2095,0.0286,0.0286,0,0,COVID - pre-COVID injuries/km,TRUE,TRUE
Bath,Recovery response change,1,0.0946,0.1371,0.1371,1,1,Recovery - COVID injuries/km,FALSE,FALSE
Bath,Zero-quarter share,1,0.0079,0.0144,0.0144,0,0,Zero-injury quarter share (log),TRUE,TRUE
Birmingham,Road/network covariates,9,0.6704,0.1817,0.7842,5,8,Retail density (log),FALSE,FALSE
Birmingham,Socio-demographic covariates,13,1.3537,0.5574,0.9136,12,12,% Car commute,FALSE,FALSE
Birmingham,Overall pre-treatment trend,1,0.0573,0.0529,0.0529,0,1,Trend: total injuries/km,TRUE,FALSE
Birmingham,Pre-COVID injury level,1,1.2772,0.0442,0.0442,0,0,Level: pre-COVID injuries/km (log),TRUE,TRUE
Birmingham,COVID response change,1,0.405,0.0205,0.0205,0,0,COVID - pre-COVID injuries/km,TRUE,TRUE
Birmingham,Recovery response change,1,0.2171,0.037,0.037,0,0,Recovery - COVID injuries/km,TRUE,TRUE
Birmingham,Zero-quarter share,1,0.6106,0.1015,0.1015,1,1,Zero-injury quarter share (log),FALSE,FALSE
Bradford,Road/network covariates,9,0.5091,0.3373,0.955,6,8,Retail density (log),FALSE,FALSE
Bradford,Socio-demographic covariates,13,0.7803,0.5122,1.4217,11,12,% Ethnic minority,FALSE,FALSE
Bradford,Overall pre-treatment trend,1,0.0487,0.001,0.001,0,0,Trend: total injuries/km,TRUE,TRUE
Bradford,Pre-COVID injury level,1,0.3507,0.0358,0.0358,0,0,Level: pre-COVID injuries/km (log),TRUE,TRUE
Bradford,COVID response change,1,0.1862,0.0358,0.0358,0,0,COVID - pre-COVID injuries/km,TRUE,TRUE
Bradford,Recovery response change,1,0.3056,0.0316,0.0316,0,0,Recovery - COVID injuries/km,TRUE,TRUE
Bradford,Zero-quarter share,1,0.3764,0.0193,0.0193,0,0,Zero-injury quarter share (log),TRUE,TRUE
Bristol,Road/network covariates,9,0.861,0.2545,0.7302,7,8,Dist. to BUA centroid (log),FALSE,FALSE
Bristol,Socio-demographic covariates,13,1.1986,0.4734,1.1527,12,13,% Active travel to work,FALSE,FALSE
Bristol,Overall pre-treatment trend,1,0.0159,0.0164,0.0164,0,0,Trend: total injuries/km,TRUE,TRUE
Bristol,Pre-COVID injury level,1,1.3382,0.0109,0.0109,0,0,Level: pre-COVID injuries/km (log),TRUE,TRUE
Bristol,COVID response change,1,0.6347,0.0709,0.0709,0,1,COVID - pre-COVID injuries/km,TRUE,FALSE
Bristol,Recovery response change,1,0.2774,0.0357,0.0357,0,0,Recovery - COVID injuries/km,TRUE,TRUE
Bristol,Zero-quarter share,1,0.6736,0.0262,0.0262,0,0,Zero-injury quarter share (log),TRUE,TRUE
Newcastle,Road/network covariates,9,0.7412,0.3127,0.5794,8,9,Retail density (log),FALSE,FALSE
Newcastle,Socio-demographic covariates,13,1.5308,0.6283,1.1545,12,13,% Aged 20-34,FALSE,FALSE
Newcastle,Overall pre-treatment trend,1,0.1915,0.0265,0.0265,0,0,Trend: total injuries/km,TRUE,TRUE
Newcastle,Pre-COVID injury level,1,1.1777,0.0273,0.0273,0,0,Level: pre-COVID injuries/km (log),TRUE,TRUE
Newcastle,COVID response change,1,0.5756,0.0477,0.0477,0,0,COVID - pre-COVID injuries/km,TRUE,TRUE
Newcastle,Recovery response change,1,0.0913,0.1065,0.1065,1,1,Recovery - COVID injuries/km,FALSE,FALSE
Newcastle,Zero-quarter share,1,1.0982,0.0184,0.0184,0,0,Zero-injury quarter share (log),TRUE,TRUE
