scheme,balance_group,n_variables,mean_abs_smd_before,mean_abs_smd_after,max_abs_smd_after,n_imbalanced_0_10,n_imbalanced_0_05,worst_variable,all_balanced_0_10,all_balanced_0_05
Bath,Road/network covariates,9,0.7787,0.3265,0.6824,6,7,% A road,FALSE,FALSE
Bath,Socio-demographic covariates,13,1.3182,0.5409,0.9918,11,13,% Active travel to work,FALSE,FALSE
Bath,Overall pre-treatment trend,1,0.1121,0.0104,0.0104,0,0,Trend: total injuries/km,TRUE,TRUE
Bath,Within-pre-period trend shape,2,0.1994,0.0252,0.0373,0,0,Mid - early injuries/km,TRUE,TRUE
Bath,Pre-COVID injury level,1,0.302,0.078,0.078,0,1,Level: pre-COVID injuries/km (log),TRUE,FALSE
Bath,Lockdown injury level,1,0.0853,0.0237,0.0237,0,0,Level: lockdown injuries/km (log),TRUE,TRUE
Bath,Recovery injury level,1,0.042,0.0304,0.0304,0,0,Level: recovery injuries/km (log),TRUE,TRUE
Bath,COVID response change,1,0.2095,0.085,0.085,0,1,COVID - pre-COVID injuries/km,TRUE,FALSE
Bath,Recovery response change,1,0.0946,0.0341,0.0341,0,0,Recovery - COVID injuries/km,TRUE,TRUE
Bath,Overall pre-treatment injury level,1,0.302,0.078,0.078,0,1,Level: mean total injuries/km (log),TRUE,FALSE
Bath,Zero-quarter share,1,0.0079,0.0104,0.0104,0,0,Zero-injury quarter share (log),TRUE,TRUE
Birmingham,Road/network covariates,9,0.6704,0.1591,0.673,5,6,Retail density (log),FALSE,FALSE
Birmingham,Socio-demographic covariates,13,1.3537,0.4443,0.7009,12,12,% 2+ car household,FALSE,FALSE
Birmingham,Overall pre-treatment trend,1,0.0573,0.0504,0.0504,0,1,Trend: total injuries/km,TRUE,FALSE
Birmingham,Within-pre-period trend shape,2,0.1135,0.0649,0.1242,1,1,Recent - mid injuries/km,FALSE,FALSE
Birmingham,Pre-COVID injury level,1,1.2772,0.1251,0.1251,1,1,Level: pre-COVID injuries/km (log),FALSE,FALSE
Birmingham,Lockdown injury level,1,0.4723,0.0774,0.0774,0,1,Level: lockdown injuries/km (log),TRUE,FALSE
Birmingham,Recovery injury level,1,0.6628,0.0588,0.0588,0,1,Level: recovery injuries/km (log),TRUE,FALSE
Birmingham,COVID response change,1,0.405,0.0681,0.0681,0,1,COVID - pre-COVID injuries/km,TRUE,FALSE
