scheme,s1_ratio,n_s1_controls,best_s2_ratio,best_trend_smd,best_mean_smd
Bath,20,629,2,0.0034941638188491714,0.004047807177912834
Birmingham,20,1253,2,1.1109517108090302e-4,0.005408807213056464
Bradford,20,2523,1,0.0013159052631422897,6.656926398101961e-4
Bristol,20,656,1,0.0060402153525446365,0.01196077481141784
Newcastle,20,303,2,2.60672792611249e-4,0.0040237816035504645
Portsmouth,20,885,6,7.747008872262508e-4,0.008869158879509767
Sheffield,20,436,1,0.005878912174335087,0.006883053746334513
Bath,30,871,1,0.0019199664538445565,0.003203423736581958
Birmingham,30,1708,1,3.1755986499764017e-4,0.0015280365083858145
Bradford,30,3385,2,9.40220280402452e-4,7.717953709870539e-4
Bristol,30,902,1,0.0052656474923861735,0.011267779272850408
Newcastle,30,434,3,4.284442403049937e-4,0.001955300615466556
Portsmouth,30,1253,3,4.470413429569051e-4,0.007652645227437014
Sheffield,30,613,1,0.003739929853828993,0.007341174704784025
Bath,50,1289,1,7.966202308798538e-4,0.001228582179850449
Birmingham,50,2555,3,9.602477741788672e-4,0.006148289008289592
Bradford,50,4845,2,9.735157173509771e-4,6.60780223709165e-4
Bristol,50,1357,1,0.001935310614859129,0.008252161234990334
Newcastle,50,681,6,3.0637618930053043e-7,0.0031811635034860795
Portsmouth,50,1966,8,2.5771103322067197e-4,0.007834380034763435
Sheffield,50,907,3,0.0016720530306724506,0.0020098628445460944
Bath,100,2181,1,0.0019762470889837917,0.0017344174825661245
Birmingham,100,4249,2,6.260753072053151e-4,0.00496644738111077
Bradford,100,7704,1,0.0011998283312529142,8.233799584273222e-4
Bristol,100,2338,2,0.0014255381034861685,0.01739122042458705
Newcastle,100,1204,10,9.71849914216916e-5,0.002140643916530301
Portsmouth,100,3426,7,2.492269068017525e-4,0.004691391787377981
Sheffield,100,1582,1,4.0119392292241546e-4,0.00514005711850975
