variable,Type,Diff.Un,Diff.Adj,abs_smd_before,abs_smd_after,improvement_pct,variable_label
cars_twoPlus_pct,Contin.,-1.9281215209069689,-0.7581930354055,1.9281215209069689,0.7581930354055,60.67711359557599,percentage with 2+ cars
Drive_Car_pct,Contin.,-1.7880448296585203,-0.7515165637153538,1.7880448296585203,0.7515165637153538,57.969926075126544,percentage commuting by car
log1p_business_retail_per_km2,Contin.,2.214462114798276,0.7498336493670454,2.214462114798276,0.7498336493670454,66.13924237600467,retail business density
Walk_pct,Contin.,1.4460827584266582,0.554632773096711,1.4460827584266582,0.554632773096711,61.645848422938606,percentage walking to work
White_pct,Contin.,-1.1865275458778233,-0.39762530461970785,1.1865275458778233,0.39762530461970785,66.48832081470687,percentage of White residents
age_45to64_pct,Contin.,-1.1467246183385922,-0.3963716026072578,1.1467246183385922,0.3963716026072578,65.43445599157604,percentage aged 45–64
Train_pct,Contin.,0.5464354397510388,0.3477488413463409,0.5464354397510388,0.3477488413463409,36.3604890808732,percentage commuting by train
pct_minor_road,Contin.,-0.43805948119166255,-0.3438321696505674,0.43805948119166255,0.3438321696505674,21.510163707624038,percentage of minor roads
cars_one_pct,Contin.,-0.4514148480292346,-0.3361848326492181,0.4514148480292346,0.3361848326492181,25.5264123196395,percentage with one car
age_65to84_pct,Contin.,-1.3114174699894061,-0.3357253112412982,1.3114174699894061,0.3357253112412982,74.39981402382796,percentage aged 65–84
IMD,Contin.,0.7846950075099758,0.3342329725338963,0.7846950075099758,0.3342329725338963,57.40600241685019,Index of Multiple Deprivation
log1p_dist_BUA_centroid,Contin.,-1.1063412973754765,-0.3300313901351285,1.1063412973754765,0.3300313901351285,70.16911590319849,distance to BUA centroid
pct_A_road,Contin.,0.4064982256810499,0.27479813413709697,0.4064982256810499,0.27479813413709697,32.39868792128223,percentage of A roads
Asian_pct,Contin.,0.8761236316204273,0.267758494909471,0.8761236316204273,0.267758494909471,69.43827500529343,percentage of Asian residents
age_15to24_pct,Contin.,0.7255955913419797,0.23470855620941533,0.7255955913419797,0.23470855620941533,67.65297928901072,percentage aged 15–24
Bicycle_pct,Contin.,-0.2997442409483184,-0.20997983268157774,0.2997442409483184,0.20997983268157774,29.947000143438206,percentage cycling to work
Black_pct,Contin.,0.46140123045814463,0.20658078791624768,0.46140123045814463,0.20658078791624768,55.227516902994616,percentage of Black residents
Other_pct,Contin.,0.3578829144792614,0.203312966732992,0.3578829144792614,0.203312966732992,43.19008857161478,percentage commuting by other mode
age_25to44_pct,Contin.,0.5993469629717173,0.1998456452439965,0.5993469629717173,0.1998456452439965,66.65610112494605,percentage aged 25–44
Motorcycle_pct,Contin.,-0.687194422203847,-0.19659551180713136,0.687194422203847,0.19659551180713136,71.39157340994629,percentage commuting by motorcycle
pct_B_road,Contin.,0.15169215525159147,0.18246035386295076,0.15169215525159147,0.18246035386295076,-20.283315614000077,percentage of B roads
Mixed_pct,Contin.,0.4206296973974923,0.18049212098416162,0.4206296973974923,0.18049212098416162,57.09001953478388,percentage of Mixed residents
workAthome_pct,Contin.,-0.011987039779972156,0.16705404931128334,0.011987039779972156,0.16705404931128334,-1293.6222151393526,percentage working at home
Underground_train_tram_pct,Contin.,0.2759701006669653,0.16685463319169178,0.2759701006669653,0.16685463319169178,39.5388729473095,percentage commuting by underground/train/tram
log1p_road_density_m_km2,Contin.,0.8621080622875902,0.1665732794090758,0.8621080622875902,0.1665732794090758,80.6783758677449,road density
Passenger_Car_pct,Contin.,-0.16148490450569186,-0.15146664821076478,0.16148490450569186,0.15146664821076478,6.203834547627312,percentage commuting as car passenger
bus_Coach_pct,Contin.,0.32477481917170237,0.12586540132704382,0.32477481917170237,0.12586540132704382,61.24533248973926,percentage commuting by bus/coach
age_under15_pct,Contin.,-0.16705803618060358,-0.11461420196889652,0.16705803618060358,0.11461420196889652,31.392583925152174,percentage aged under 15
Taxi_pct,Contin.,0.37272020688452806,0.1127299077421084,0.37272020688452806,0.1127299077421084,69.75481724364005,percentage commuting by taxi
log_area_km2,Contin.,-0.6503248336362154,-0.08673757514229835,0.6503248336362154,0.08673757514229835,86.66242304521644,OA area
log1p_road_length_km,Contin.,-0.1138515164277316,0.08425913158848511,0.1138515164277316,0.08425913158848511,25.992086682508578,road length
log1p_pop_density,Contin.,0.7497261941162852,0.04437746915634721,0.7497261941162852,0.04437746915634721,94.08084317920148,population density
