group3,quarter_year,n_roads,mean_injuries,total_injuries,pct_zero
CAZ roads,2021 Q1,1359,7.358351729212656e-4,1,99.92641648270786
CAZ roads,2021 Q2,5121,0.00934066783831283,47.83356,99.21890255809413
CAZ roads,2021 Q3,5121,0.015049476664713924,77.06837,98.88693614528412
CAZ roads,2021 Q4,5121,0.015573161491896114,79.75016,98.86740870923649
CAZ roads,2022 Q1,5121,0.014102931068150752,72.22111,99.02362819761765
CAZ roads,2022 Q2,5121,0.01107661003710213,56.72332,99.10173794180824
CAZ roads,2022 Q3,15335,0.011457128790348875,175.69507,99.15878708835996
CAZ roads,2022 Q4,18540,0.013395909385113269,248.36016,98.9967637540453
CAZ roads,2023 Q1,20346,0.011372475179396442,231.38438,99.10547527769586
CAZ roads,2023 Q2,22004,0.011648287129612798,256.30891,99.12743137611344
CAZ roads,2023 Q3,23518,0.010781043030869972,253.54857,99.12407517646058
CAZ roads,2023 Q4,23518,0.011313934858406328,266.08112,99.0177736202058
CAZ roads,2024 Q1,23518,0.010996095756441875,258.60618,99.11982311421039
CAZ roads,2024 Q2,25731,0.011638565932144107,299.47194,99.12945474330574
CAZ roads,2024 Q3,25731,0.011193540476468073,288.02099,99.07893202751545
CAZ roads,2024 Q4,25731,0.013312984337958104,342.5564,99.02063658621896
Non-CAZ roads,2015 Q1,1850405,0.006495135227152988,12018.6307,99.49443500206712
Non-CAZ roads,2015 Q2,1850405,0.006691446753548525,12381.88653,99.48405889521483
Non-CAZ roads,2015 Q3,1850405,0.007179512301361052,13285.00546,99.45660544583484
Non-CAZ roads,2015 Q4,1850405,0.007389951302552676,13674.40284,99.43423196543459
Non-CAZ roads,2016 Q1,1850405,0.0066900491784231105,12379.30045,99.47881679956551
Non-CAZ roads,2016 Q2,1850405,0.0065663586890437435,12150.42295,99.49956901327008
Non-CAZ roads,2016 Q3,1850405,0.006704554365125459,12406.14092,99.48686909082066
Non-CAZ roads,2016 Q4,1850405,0.0069233489857626,12810.99958,99.46298242817113
Non-CAZ roads,2017 Q1,1850405,0.006149826778462026,11379.67022,99.51961867807317
Non-CAZ roads,2017 Q2,1850405,0.0058632048443448895,10849.30356,99.54534277631113
Non-CAZ roads,2017 Q3,1850405,0.006306980342141321,11670.46796,99.51778124248474
Non-CAZ roads,2017 Q4,1850405,0.006557343257286905,12133.74075,99.48994949754243
Non-CAZ roads,2018 Q1,1850405,0.005548851899989475,10267.6233,99.56647328557801
Non-CAZ roads,2018 Q2,1850405,0.00588901356189592,10897.06014,99.54031684955456
Non-CAZ roads,2018 Q3,1850405,0.005844328365952326,10814.37443,99.54285683404443
Non-CAZ roads,2018 Q4,1850405,0.0062069068285051125,11485.29143,99.51086383791656
Non-CAZ roads,2019 Q1,1850405,0.005354226501765828,9907.48749,99.575336210181
Non-CAZ roads,2019 Q2,1850405,0.0053915913489209185,9976.62759,99.58252382586514
Non-CAZ roads,2019 Q3,1850405,0.005588812249210313,10341.56613,99.56971581896936
Non-CAZ roads,2019 Q4,1850405,0.006186777943207032,11448.04484,99.51783528470794
Non-CAZ roads,2020 Q1,1850405,0.004837325623309479,8951.01152,99.61711084870609
Non-CAZ roads,2020 Q2,1850405,0.00261549769374812,4839.73001,99.78815448509921
Non-CAZ roads,2020 Q3,1850405,0.004456878099659266,8247.02952,99.64823916926294
Non-CAZ roads,2020 Q4,1850405,0.004538169616921703,8397.45175,99.6357554157063
Non-CAZ roads,2021 Q1,1849046,0.0032826657097768295,6069.7999,99.73402500532707
Non-CAZ roads,2021 Q2,1845284,0.005030881436136665,9283.40502,99.60537239796152
Non-CAZ roads,2021 Q3,1845284,0.005131121193268897,9468.37584,99.5951842643192
Non-CAZ roads,2021 Q4,1845284,0.005410947436817307,9984.73473,99.57247773242493
Non-CAZ roads,2022 Q1,1845284,0.004963737646887962,9159.50566,99.60938262077815
Non-CAZ roads,2022 Q2,1845284,0.004903744811096832,9048.80184,99.61214642298964
Non-CAZ roads,2022 Q3,1835070,0.005069670851793127,9303.20089,99.6064455306882
Non-CAZ roads,2022 Q4,1831865,0.005103223414389151,9348.41636,99.59238262644901
Non-CAZ roads,2023 Q1,1830059,0.004627112885431559,8467.88958,99.6318697921761
Non-CAZ roads,2023 Q2,1828401,0.004865074116673524,8895.30638,99.62076152878936
Non-CAZ roads,2023 Q3,1826887,0.004767866167967699,8710.35272,99.62608524774657
Non-CAZ roads,2023 Q4,1826887,0.005075208477590564,9271.83239,99.60074158938129
Non-CAZ roads,2024 Q1,1826887,0.004483482388346956,8190.81569,99.64239714881107
Non-CAZ roads,2024 Q2,1824674,0.004759942554121992,8685.34342,99.62459047479166
Non-CAZ roads,2024 Q3,1824674,0.004637807213781754,8462.48624,99.63083816616009
Non-CAZ roads,2024 Q4,1824674,0.005099007515863101,9304.02644,99.5948865386365
Matched CAZ roads,2015 Q1,21809,0.01792524875051584,390.93175,98.5969095327617
Matched CAZ roads,2015 Q2,21809,0.01721110046311156,375.35689,98.6840295290935
Matched CAZ roads,2015 Q3,21809,0.01704303911229309,371.69164,98.71154110688248
Matched CAZ roads,2015 Q4,21809,0.019050916135540375,415.48143,98.56939795497271
Matched CAZ roads,2016 Q1,21809,0.01790701545233619,390.5341,98.63359163648036
Matched CAZ roads,2016 Q2,21809,0.014811572745196937,323.02559,98.85368425879224
Matched CAZ roads,2016 Q3,21809,0.017741736897611077,386.92954,98.63817689944518
Matched CAZ roads,2016 Q4,21809,0.01890740290705672,412.35155,98.64734742537485
Matched CAZ roads,2017 Q1,21809,0.01441355403732404,314.3452,98.87202531065157
Matched CAZ roads,2017 Q2,21809,0.015554025402356826,339.21774,98.90412215140539
Matched CAZ roads,2017 Q3,21809,0.0154045371177037,335.95755,98.79866110321427
Matched CAZ roads,2017 Q4,21809,0.016919223714980055,368.99135,98.73905268467146
Matched CAZ roads,2018 Q1,21809,0.014348699619423174,312.93079,98.92246320326471
Matched CAZ roads,2018 Q2,21809,0.015091910679077445,329.13948,98.83992846989776
Matched CAZ roads,2018 Q3,21809,0.015353634737952222,334.84742,98.83075794396808
Matched CAZ roads,2018 Q4,21809,0.0185049021046357,403.57341,98.56939795497271
Matched CAZ roads,2019 Q1,21809,0.014172514099683618,309.08836,98.85826952175707
Matched CAZ roads,2019 Q2,21809,0.014129997707368518,308.16112,98.92246320326471
Matched CAZ roads,2019 Q3,21809,0.012880794167545508,280.91724,98.97748635884268
Matched CAZ roads,2019 Q4,21809,0.015364083635196478,335.0753,98.79866110321427
Matched CAZ roads,2020 Q1,21809,0.012470079783575588,271.95997,99.01875372552615
Matched CAZ roads,2020 Q2,21809,0.004379805584850291,95.51918,99.62400843688386
Matched CAZ roads,2020 Q3,21809,0.009287565225365675,202.55251,99.24801687376771
Matched CAZ roads,2020 Q4,21809,0.009470167820624513,206.53489,99.23426108487322
Matched CAZ roads,2021 Q1,21809,0.007189552478334632,156.79695,99.4085010775368
Matched CAZ roads,2021 Q2,21809,0.012696524370672658,276.8985,99.06460635517446
Matched CAZ roads,2021 Q3,21809,0.015564086386354257,339.43716,98.79866110321427
Matched CAZ roads,2021 Q4,21809,0.015687460222843782,342.12782,98.79407584024943
Matched CAZ roads,2022 Q1,21809,0.0159368710165528,347.56722,98.79866110321427
Matched CAZ roads,2022 Q2,21809,0.011623294052913935,253.49242,99.10587372185795
Matched CAZ roads,2022 Q3,21809,0.01245521894630657,271.63587,99.03709477738548
Matched CAZ roads,2022 Q4,21809,0.014568642762162411,317.72753,98.8766105736164
Matched CAZ roads,2023 Q1,21809,0.012606372139942226,274.93237,99.00499793663167
Matched CAZ roads,2023 Q2,21809,0.013309986244211106,290.27749,98.98665688477234
Matched CAZ roads,2023 Q3,21809,0.011572764913567794,252.39043,99.05085056627998
Matched CAZ roads,2023 Q4,21809,0.012749622632857994,278.05652,98.93163372919437
Matched CAZ roads,2024 Q1,21809,0.01224017744967674,266.94603,99.03709477738548
Matched CAZ roads,2024 Q2,21809,0.012779254436241918,278.70276,99.0829474070338
Matched CAZ roads,2024 Q3,21809,0.012726616992984547,277.55479,98.96373056994818
Matched CAZ roads,2024 Q4,21809,0.015349486909074235,334.75696,98.86744004768674
Matched controls,2015 Q1,91838,0.013334188979128461,1526.89798,98.95904287835123
Matched controls,2015 Q2,91838,0.012725936162780543,1457.24695,98.97825517422059
Matched controls,2015 Q3,91838,0.0137146032660903,1570.45922,98.93983058248187
Matched controls,2015 Q4,91838,0.014885700637498908,1704.56158,98.87171426076326
Matched controls,2016 Q1,91838,0.012756513230285564,1460.74833,98.98873460833116
Matched controls,2016 Q2,91838,0.013398746310365908,1534.29044,98.96602916775828
Matched controls,2016 Q3,91838,0.013162878438564318,1507.28121,98.98786132215527
Matched controls,2016 Q4,91838,0.014556695397781852,1666.88719,98.85861496812505
Matched controls,2017 Q1,91838,0.012788219631473233,1464.37903,98.97825517422059
Matched controls,2017 Q2,91838,0.011707415072919395,1340.6161,99.08741594620557
Matched controls,2017 Q3,91838,0.01203550109160772,1378.18523,99.07344336739149
Matched controls,2017 Q4,91838,0.013414351410357175,1536.07738,98.95205658894419
Matched controls,2018 Q1,91838,0.011237343638110207,1286.78822,99.11798096236136
Matched controls,2018 Q2,91838,0.011665585887695399,1335.82624,99.04462492358745
Matched controls,2018 Q3,91838,0.010604377783599687,1214.3073,99.12758711029605
Matched controls,2018 Q4,91838,0.012149063225919134,1391.18923,99.04025849270806
Matched controls,2019 Q1,91838,0.009483702296742643,1085.97875,99.2210287311152
Matched controls,2019 Q2,91838,0.010484919657671819,1200.62815,99.13719325823072
Matched controls,2019 Q3,91838,0.010103061217360928,1156.90154,99.2035630075976
Matched controls,2019 Q4,91838,0.011631403982184964,1331.91207,99.04549820976334
Matched controls,2020 Q1,91838,0.009892670509125841,1132.8097,99.19395685966292
Matched controls,2020 Q2,91838,0.004392951357960004,503.03686,99.63409309230636
Matched controls,2020 Q3,91838,0.007480329403545541,856.57252,99.37385381189415
Matched controls,2020 Q4,91838,0.008076073792681862,924.79121,99.31796349663784
Matched controls,2021 Q1,91838,0.005266118242948214,603.0232,99.55899048118069
Matched controls,2021 Q2,91838,0.011924360230547552,1365.45849,99.07693651209502
Matched controls,2021 Q3,91838,0.012011327394987338,1375.4171,99.07955637062265
Matched controls,2021 Q4,91838,0.014033776089424502,1607.0076999999999,98.94507029953716
Matched controls,2022 Q1,91838,0.008792671906383722,1006.84886,99.28652519430618
Matched controls,2022 Q2,91838,0.008588399790411318,983.45766,99.28565190813029
Matched controls,2022 Q3,91838,0.010309783774342851,1180.57334,99.1991965767182
Matched controls,2022 Q4,91838,0.009706233953366518,1111.46085,99.21404244170814
Matched controls,2023 Q1,91838,0.008515043576980175,975.05764,99.30311763164788
Matched controls,2023 Q2,91838,0.00960387974849358,1099.74027,99.24286088551219
Matched controls,2023 Q3,91838,0.009053460309143306,1036.71174,99.25246703344686
Matched controls,2023 Q4,91838,0.009966374639769453,1141.24956,99.18522399790412
Matched controls,2024 Q1,91838,0.008104089861147499,927.99933,99.34852851279365
