group3,period,mean_index,mean_injuries,total_injuries,mean_n_roads
CAZ roads,Lockdown,NA,7.358351729212656e-4,1,1359
CAZ roads,Post-recovery / CAZ era,NA,0.011857458831834394,2748.97815,19517.833333333332
CAZ roads,Recovery,NA,0.013321101998307622,204.65209,5121
Matched CAZ roads,Earlier pre-period,120.27961689264471,0.016491825528046976,6114.39379,21809
Matched CAZ roads,Lockdown,55.29604490837547,0.007581772777293778,661.40353,21809
Matched CAZ roads,Post-recovery / CAZ era,95.97862899809388,0.013159859041374357,3444.04039,21809
Matched CAZ roads,Pre-COVID baseline,100,0.013711238823421523,1196.11363,21809
Matched CAZ roads,Recovery,106.84196506202063,0.014649356993290232,958.46348,21809
Matched controls,Earlier pre-period,119.35708788071324,0.01256593073299532,24461.72038,91838
Matched controls,Lockdown,59.8770888235679,0.006303868199283905,2887.42379,91838
Matched controls,Post-recovery / CAZ era,85.92090107774402,0.009045764358280209,12429.96572,91838
Matched controls,Pre-COVID baseline,100,0.010528013841585887,4822.25146,91838
Matched controls,Recovery,120.21724225886803,0.012656487904986463,4347.88329,91838
Non-CAZ roads,Earlier pre-period,115.87042105137003,0.006374178775489056,200511.80871,1850405
Non-CAZ roads,Lockdown,67.68254798286611,0.0037233027800264796,27554.01118,1850065.25
Non-CAZ roads,Post-recovery / CAZ era,88.39988645250261,0.004862989836995351,106847.97761,1830887.1666666667
Non-CAZ roads,Pre-COVID baseline,100,0.005501126791161936,40717.25008,1850405
Non-CAZ roads,Recovery,94.36218346662021,0.005190983355407623,28736.515590000003,1845284
