quarter_year,is_west_yorks,n_casualties,n_collisions,casualties_per_collision,group,base_2019,casualty_index,collision_index,cpc_index
2015 Q1,FALSE,11356,8773,1.2944260800182377,All other forces,1.2885711714528467,115.99591419816139,115.44180538193302,100.45437215228009
2015 Q1,TRUE,1270,912,1.3925438596491229,West Yorkshire,1.3234340311279023,134.21400264200793,127.50786438308283,105.22200781419542
2015 Q2,FALSE,11633,8819,1.3190837963487925,All other forces,1.2885711714528467,118.8253319713994,116.04710836239227,102.36794253758939
2015 Q2,TRUE,1374,1016,1.3523622047244095,West Yorkshire,1.3234340311279023,145.20475561426684,142.04823488290808,102.18584175078625
2015 Q3,FALSE,12547,9376,1.3382039249146758,All other forces,1.2885711714528467,128.16138917262512,123.37653793012699,103.8517665582933
2015 Q3,TRUE,1422,1046,1.3594646271510515,West Yorkshire,1.3234340311279023,150.2774108322325,146.24257252708844,102.72250789806591
2015 Q4,FALSE,12716,9676,1.3141794129805704,All other forces,1.2885711714528467,129.8876404494382,127.32416606355682,101.98733621355588
2015 Q4,TRUE,1612,1182,1.3637901861252115,West Yorkshire,1.3234340311279023,170.35667107001322,165.25690318070605,103.04935146354939
2016 Q1,FALSE,11502,8909,1.2910539903468403,All other forces,1.2885711714528467,117.48723186925434,117.23139680242122,100.19267999696085
2016 Q1,TRUE,1356,1017,1.3333333333333333,West Yorkshire,1.3234340311279023,143.30250990752972,142.18804613771408,100.74800118272569
2016 Q2,FALSE,11369,8628,1.3176866017617062,All other forces,1.2885711714528467,116.12870275791624,113.53378511744194,102.25951278081382
2016 Q2,TRUE,1210,905,1.3370165745856353,West Yorkshire,1.3234340311279023,127.87318361955086,126.52918559944075,101.02631057825808
2016 Q3,FALSE,11466,8798,1.3032507388042738,All other forces,1.2885711714528467,117.11950970377937,115.77077439305218,101.13921277121821
2016 Q3,TRUE,1366,987,1.3839918946301926,West Yorkshire,1.3234340311279023,144.35931307793922,137.99370849353372,104.57581277781408
2016 Q4,FALSE,11907,9289,1.2818387339864357,All other forces,1.2885711714528467,121.6241062308478,122.23172577143234,99.47752692163519
2016 Q4,TRUE,1353,967,1.3991726990692865,West Yorkshire,1.3234340311279023,142.98546895640686,135.1974833974135,105.72288955550249
2017 Q1,FALSE,10642,8298,1.2824777054711978,All other forces,1.2885711714528467,108.70275791624107,109.19139417066913,99.52711451903906
2017 Q1,TRUE,1163,867,1.3414071510957324,West Yorkshire,1.3234340311279023,122.90620871862616,121.2163579168123,101.35806693383218
2017 Q2,FALSE,10239,7897,1.2965683170824365,All other forces,1.2885711714528467,104.58631256384065,103.91473123231792,100.62062118156602
2017 Q2,TRUE,996,756,1.3174603174603174,West Yorkshire,1.3234340311279023,105.25759577278731,105.69730863334499,99.54862021626468
2017 Q3,FALSE,10970,8311,1.319937432318614,All other forces,1.2885711714528467,112.05311542390194,109.36245805645109,102.43418924469668
2017 Q3,TRUE,1134,881,1.2871736662883086,West Yorkshire,1.3234340311279023,119.84147952443857,123.17371548409648,97.26013054019091
2017 Q4,FALSE,11333,8809,1.286525144738336,All other forces,1.2885711714528467,115.76098059244127,115.9155207579446,99.8412174073238
2017 Q4,TRUE,1245,933,1.3344051446945338,West Yorkshire,1.3234340311279023,131.57199471598415,130.44390073400908,100.8289883219401
2018 Q1,FALSE,9635,7466,1.2905170104473613,All other forces,1.2885711714528467,98.4167517875383,98.24330548062373,100.15100749090332
2018 Q1,TRUE,999,768,1.30078125,West Yorkshire,1.3234340311279023,105.57463672391017,107.37504369101713,98.28833318510056
2018 Q2,FALSE,10178,7849,1.2967256975410881,All other forces,1.2885711714528467,103.9632277834525,103.28311073096914,100.63283474509579
2018 Q2,TRUE,1120,838,1.3365155131264916,West Yorkshire,1.3234340311279023,118.36195508586526,117.16183152743795,100.98844987289927
2018 Q3,FALSE,10230,7909,1.2934631432545203,All other forces,1.2885711714528467,104.49438202247191,104.07263635765511,100.37964312022889
2018 Q3,TRUE,999,770,1.2974025974025973,West Yorkshire,1.3234340311279023,105.57463672391017,107.65466620062915,98.03303881319121
2018 Q4,FALSE,10825,8515,1.2712859659424545,All other forces,1.2885711714528467,110.57201225740552,112.04684518718337,98.6585758013736
2018 Q4,TRUE,1073,822,1.305352798053528,West Yorkshire,1.3234340311279023,113.39498018494055,114.92485145054177,98.63376393162834
2019 Q1,FALSE,9301,7304,1.2734118291347207,All other forces,1.2885711714528467,95.00510725229826,96.11158628857162,98.82355413081032
2019 Q1,TRUE,941,721,1.3051317614424411,West Yorkshire,1.3234340311279023,99.445178335535,100.80391471513457,98.61706218406195
2019 Q2,FALSE,9455,7247,1.304677797709397,All other forces,1.2885711714528467,96.57814096016344,95.36153694321995,101.2499601584591
2019 Q2,TRUE,875,655,1.3358778625954197,West Yorkshire,1.3234340311279023,92.47027741083224,91.57637189793779,100.94026836055532
2019 Q3,FALSE,9653,7443,1.2969232836221953,All other forces,1.2885711714528467,98.6006128702758,97.94065399039411,100.64816847950523
2019 Q3,TRUE,971,723,1.3430152143845089,West Yorkshire,1.3234340311279023,102.61558784676355,101.08353722474659,101.47957380542184
2019 Q4,FALSE,10751,8404,1.2792717753450737,All other forces,1.2885711714528467,109.8161389172625,110.58622277781433,99.27831723122534
2019 Q4,TRUE,998,762,1.3097112860892388,West Yorkshire,1.3234340311279023,105.46895640686922,106.53617616218105,98.96309564996088
2020 Q1,FALSE,8367,6598,1.2681115489542285,All other forces,1.2885711714528467,85.46475995914199,86.82150141456675,98.41222410124617
2020 Q1,TRUE,831,640,1.2984375,West Yorkshire,1.3234340311279023,87.82034346103039,89.47920307584761,98.11123708927155
2020 Q2,FALSE,4501,3591,1.253411306042885,All other forces,1.2885711714528467,45.975485188968335,47.253108757155076,97.27140679623312
2020 Q2,TRUE,484,381,1.2703412073490814,West Yorkshire,1.3234340311279023,51.14927344782034,53.268088081090525,95.98825309535283
2020 Q3,FALSE,7712,6043,1.2761873241767334,All other forces,1.2885711714528467,78.77425944841676,79.51838936772155,99.03894735886799
2020 Q3,TRUE,766,599,1.2787979966611018,West Yorkshire,1.3234340311279023,80.95112285336856,83.74694162880112,96.62725656005996
2020 Q4,FALSE,7915,6346,1.2472423573904823,All other forces,1.2885711714528467,80.84780388151175,83.50549378248569,96.79266345717119
2020 Q4,TRUE,712,548,1.2992700729927007,West Yorkshire,1.3234340311279023,75.2443857331572,76.61656763369452,98.17414713791153
2021 Q1,FALSE,5685,4569,1.2442547603414313,All other forces,1.2885711714528467,58.06945863125638,60.122376472136324,96.56080998138044
2021 Q1,TRUE,533,420,1.269047619047619,West Yorkshire,1.3234340311279023,56.32760898282695,58.72072701852499,95.89050826855856
2021 Q2,FALSE,8385,6716,1.248511018463371,All other forces,1.2885711714528467,85.64862104187947,88.37423514704915,96.89111832726256
2021 Q2,TRUE,1113,836,1.3313397129186604,West Yorkshire,1.3234340311279023,117.6221928665786,116.88220901782593,100.59736122880416
2021 Q3,FALSE,8524,6821,1.2496701363436447,All other forces,1.2885711714528467,87.06843718079674,89.7559049937496,96.98107206097575
2021 Q3,TRUE,1190,890,1.3370786516853932,West Yorkshire,1.3234340311279023,125.75957727873184,124.43201677735058,101.03100118604794
2021 Q4,FALSE,9011,7220,1.2480609418282549,All other forces,1.2885711714528467,92.04290091930541,95.00625041121127,96.85618997832172
2021 Q4,TRUE,1224,935,1.309090909090909,West Yorkshire,1.3234340311279023,129.35270805812416,130.72352324362112,98.91621934303977
2022 Q1,FALSE,8338,6608,1.2618038740920097,All other forces,1.2885711714528467,85.1685393258427,86.95308901901441,97.9227148679217
2022 Q1,TRUE,1041,810,1.2851851851851852,West Yorkshire,1.3234340311279023,110.01321003963012,113.24711639286963,97.10987891779395
2022 Q2,FALSE,8212,6542,1.2552736166309997,All other forces,1.2885711714528467,83.88151174668029,86.08461082965985,97.4159320370093
