quarter_year,group,n_casualties,n_collisions,n_lads,casualties_per_lad,collisions_per_lad,casualties_per_collision,base_2019,casualty_index,collision_index,cpc_index
2015 Q1,Bradford,388,287,1,388,287,1.3519163763066202,1.3405920505269893,139.1928251121076,138.1468110709988,100.84472571467057
2015 Q1,Bradford's matched-control LADs,9051,6895,58,156.05172413793105,118.87931034482759,1.3126903553299492,1.296968272787715,116.01243310795655,114.56818842686828,101.21221797572896
2015 Q2,Bradford,407,292,1,407,292,1.393835616438356,1.3405920505269893,146.00896860986546,140.55354993983153,103.97164565390617
2015 Q2,Bradford's matched-control LADs,9462,7145,58,163.13793103448276,123.1896551724138,1.3242827151854444,1.296968272787715,121.28048194315377,118.72221991442694,102.10602240400374
2015 Q3,Bradford,442,302,1,442,302,1.4635761589403973,1.3405920505269893,158.56502242152467,145.367027677497,109.17386526087952
2015 Q3,Bradford's matched-control LADs,10008,7450,58,172.55172413793105,128.44827586206895,1.3433557046979865,1.296968272787715,128.27891178261288,123.79013832924852,103.57660498591581
2015 Q4,Bradford,450,355,1,450,355,1.267605633802817,1.3405920505269893,161.43497757847533,170.87845968712395,94.55565795012127
2015 Q4,Bradford's matched-control LADs,10254,7695,58,176.79310344827587,132.67241379310346,1.3325536062378167,1.296968272787715,131.43205050149004,127.86108918705605,102.74373199381465
2016 Q1,Bradford,432,320,1,432,320,1.35,1.3405920505269893,154.97757847533632,154.03128760529484,100.70177571687915
2016 Q1,Bradford's matched-control LADs,9166,7040,58,158.0344827586207,121.37931034482759,1.3019886363636364,1.296968272787715,117.48646137084629,116.97752668965231,100.38708453254068
2016 Q2,Bradford,338,248,1,338,248,1.3629032258064515,1.3405920505269893,121.25560538116592,119.37424789410349,101.66427775479436
2016 Q2,Bradford's matched-control LADs,9047,6796,58,155.98275862068965,117.17241379310344,1.3312242495585638,1.296968272787715,115.96116255968212,112.92319195779503,102.64123475412539
2016 Q3,Bradford,456,315,1,456,315,1.4476190476190476,1.3405920505269893,163.58744394618833,151.6245487364621,107.98356196801151
2016 Q3,Bradford's matched-control LADs,9141,6940,58,157.60344827586206,119.65517241379311,1.3171469740634005,1.296968272787715,117.16602044413112,115.31591409462885,101.55583615259249
2016 Q4,Bradford,382,266,1,382,266,1.4360902255639099,1.3405920505269893,137.0403587443946,128.03850782190133,107.12358207699204
2016 Q4,Bradford's matched-control LADs,9616,7409,58,165.79310344827587,127.74137931034483,1.2978809555945472,1.296968272787715,123.25439805171916,123.1088771652889,100.07037048060323
2017 Q1,Bradford,346,268,1,346,268,1.291044776119403,1.3405920505269893,124.12556053811659,129.00120336943442,96.30407517424042
2017 Q1,Bradford's matched-control LADs,8464,6552,58,145.93103448275863,112.96551724137932,1.291819291819292,1.296968272787715,108.4884801486846,108.86885722593777,99.60299869499846
2017 Q2,Bradford,325,233,1,325,233,1.3948497854077253,1.3405920505269893,116.59192825112108,112.15403128760529,104.04729648064132
2017 Q2,Bradford's matched-control LADs,8106,6192,58,139.75862068965517,106.75862068965517,1.309108527131783,1.296968272787715,103.8997660781235,102.88705188385329,100.93604867588425
2017 Q3,Bradford,366,263,1,366,263,1.391634980988593,1.3405920505269893,131.30044843049328,126.59446450060169,103.8074916557605
2017 Q3,Bradford's matched-control LADs,8812,6656,58,151.93103448275863,114.75862068965517,1.3239182692307692,1.296968272787715,112.94901784855963,110.59693432476219,102.07792256823119
2017 Q4,Bradford,327,249,1,327,249,1.3132530120481927,1.3405920505269893,117.30941704035874,119.85559566787003,97.96067428058747
2017 Q4,Bradford's matched-control LADs,9271,7108,58,159.8448275862069,122.55172413793103,1.3043050084411931,1.296968272787715,118.83231326304994,118.10742325426826,100.56568351033819
2018 Q1,Bradford,272,205,1,272,205,1.326829268292683,1.3405920505269893,97.57847533632287,98.676293622142,98.97338028903751
2018 Q1,Bradford's matched-control LADs,7834,6020,58,135.06896551724137,103.79310344827586,1.301328903654485,1.296968272787715,100.41336879546255,100.0290782204129,100.33621723509067
2018 Q2,Bradford,331,248,1,331,248,1.3346774193548387,1.3405920505269893,118.74439461883408,119.37424789410349,99.55880454685484
2018 Q2,Bradford's matched-control LADs,8188,6312,58,141.17241379310346,108.82758620689656,1.297211660329531,1.296968272787715,104.95081231774923,104.88098699788145,100.01876588247552
2018 Q3,Bradford,331,256,1,331,256,1.29296875,1.3405920505269893,118.74439461883408,123.22503008423585,96.44759190476563
2018 Q3,Bradford's matched-control LADs,8130,6271,58,140.17241379310346,108.12068965517241,1.2964439483335992,1.296968272787715,104.20738936777006,104.19972583392182,99.95957307012692
2018 Q4,Bradford,357,262,1,357,262,1.3625954198473282,1.3405920505269893,128.07174887892376,126.11311672683514,101.64131730541662
2018 Q4,Bradford's matched-control LADs,8612,6742,58,148.48275862068965,116.24137931034483,1.277365766834767,1.296968272787715,110.38549043483833,112.02592115648235,98.48859017107534
2019 Q1,Bradford,251,198,1,251,198,1.2676767676767677,1.3405920505269893,90.04484304932735,95.30685920577618,94.56096410376607
2019 Q1,Bradford's matched-control LADs,7461,5781,58,128.63793103448276,99.67241379310344,1.2906071613907628,1.296968272787715,95.63239016887236,96.05782411830681,99.50953993783675
2019 Q2,Bradford,259,194,1,259,194,1.3350515463917525,1.3405920505269893,92.91479820627802,93.38146811070999,99.58671214460367
2019 Q2,Bradford's matched-control LADs,7483,5676,58,129.01724137931035,97.86206896551724,1.3183579985905567,1.296968272787715,95.9143781843817,94.31313089353218,101.64920964156404
2019 Q3,Bradford,283,202,1,283,202,1.400990099009901,1.3405920505269893,101.52466367713005,97.23225030084235,104.5053264681951
2019 Q3,Bradford's matched-control LADs,7740,5970,58,133.44827586206895,102.93103448275862,1.2964824120603016,1.296968272787715,99.20851091101353,99.19827192290117,99.96253873455446
2019 Q4,Bradford,322,237,1,322,237,1.358649789029536,1.3405920505269893,115.51569506726457,114.07942238267148,101.34699728343519
2019 Q4,Bradford's matched-control LADs,8523,6646,58,146.94827586206895,114.58620689655173,1.2824255191092386,1.296968272787715,109.24472073573236,110.43077306525983,98.87871168604471
2020 Q1,Bradford,297,215,1,297,215,1.3813953488372093,1.3405920505269893,106.54708520179372,103.48977135980746,103.04367747773681
2020 Q1,Bradford's matched-control LADs,6719,5270,58,115.84482758620689,90.86206896551724,1.2749525616698292,1.296968272787715,86.12170346396641,87.56698375773689,98.30252508254769
2020 Q2,Bradford,156,121,1,156,121,1.2892561983471074,1.3405920505269893,55.964125560538115,58.24308062575211,96.17065816855309
2020 Q2,Bradford's matched-control LADs,3693,2943,58,63.672413793103445,50.741379310344826,1.254841997961264,1.296968272787715,47.33553369436344,48.90125867154073,96.751942533189
2020 Q3,Bradford,238,188,1,238,188,1.2659574468085106,1.3405920505269893,85.38116591928251,90.49338146811071,94.43271324120268
2020 Q3,Bradford's matched-control LADs,6250,4893,58,107.75862068965517,84.36206896551724,1.2773349683220927,1.296968272787715,80.11023167879002,81.30270427449841,98.4862155167896
2020 Q4,Bradford,231,170,1,231,170,1.3588235294117648,1.3405920505269893,82.86995515695067,81.82912154031288,101.35995725751235
2020 Q4,Bradford's matched-control LADs,6369,5080,58,109.8103448275862,87.58620689655173,1.2537401574803149,1.296968272787715,81.63553048995418,84.40991982719228,96.6669874495476
2021 Q1,Bradford,205,160,1,205,160,1.28125,1.3405920505269893,73.54260089686099,77.01564380264742,95.57344454611216
2021 Q1,Bradford's matched-control LADs,4507,3615,58,77.70689655172414,62.327586206896555,1.246749654218534,1.296968272787715,57.769090268209055,60.06729531009845,96.12799945666822
2021 Q2,Bradford,421,296,1,421,296,1.4222972972972974,1.3405920505269893,151.03139013452915,142.4789410348977,106.09471365567099
2021 Q2,Bradford's matched-control LADs,6956,5501,58,119.93103448275862,94.84482758620689,1.2644973641156154,1.296968272787715,89.15948344922613,91.40530885224109,97.49639915228563
2021 Q3,Bradford,408,300,1,408,300,1.36,1.3405920505269893,146.3677130044843,144.4043321299639,101.44771479626344
2021 Q3,Bradford's matched-control LADs,7132,5668,58,122.96551724137932,97.72413793103448,1.2582921665490472,1.296968272787715,91.41538757330086,94.18020188593029,97.01796049678708
2021 Q4,Bradford,412,304,1,412,304,1.355263157894737,1.3405920505269893,147.80269058295963,146.32972322503008,101.09437523234458
2021 Q4,Bradford's matched-control LADs,7554,6012,58,130.24137931034483,103.65517241379311,1.2564870259481038,1.296968272787715,96.82443041625275,99.89614921281104,96.87877894247941
2022 Q1,Bradford,304,242,1,304,242,1.256198347107438,1.3405920505269893,109.05829596412556,116.48616125150421,93.70474385653891
2022 Q1,Bradford's matched-control LADs,6807,5414,58,117.36206896551724,93.34482758620689,1.2572958995197636,1.296968272787715,87.24965552600378,89.95970589457066,96.94114543120787
2022 Q2,Bradford,334,262,1,334,262,1.2748091603053435,1.3405920505269893,119.82062780269058,126.11311672683514,95.09299714288278
2022 Q2,Bradford's matched-control LADs,6807,5419,58,117.36206896551724,93.43103448275862,1.256135818416682,1.296968272787715,87.24965552600378,90.04278652432185,96.85169982737763
2022 Q3,Bradford,354,258,1,354,258,1.372093023255814,1.3405920505269893,126.99551569506727,124.18772563176896,102.34978065970492
2022 Q3,Bradford's matched-control LADs,7020,5469,58,121.03448275862068,94.29310344827586,1.2835984640702138,1.296968272787715,89.97981222161694,90.87359282183358,98.96914913047458
