quarter_year,group,type,n_casualties,n_lads,casualties_per_lad,base_2019,casualty_index
2015 Q1,Bradford,Car or van driver or occupant,258,1,258,178,144.9438202247191
2015 Q1,Bradford,Cyclist,21,1,21,20,105
2015 Q1,Bradford,Other,23,1,23,19.75,116.45569620253164
2015 Q1,Bradford,Pedestrian,86,1,86,61,140.98360655737704
2015 Q1,Bradford's matched-control LADs,Car or van driver or occupant,5643,58,97.29310344827586,79.96982758620689,121.66226486282541
2015 Q1,Bradford's matched-control LADs,Cyclist,940,58,16.20689655172414,17.58189655172414,92.17945574895808
2015 Q1,Bradford's matched-control LADs,Other,977,58,16.844827586206897,15.288793103448278,110.177614885819
2015 Q1,Bradford's matched-control LADs,Pedestrian,1491,58,25.70689655172414,21.67241379310345,118.61575178997614
2015 Q2,Bradford,Car or van driver or occupant,273,1,273,178,153.37078651685394
2015 Q2,Bradford,Cyclist,30,1,30,20,150
2015 Q2,Bradford,Other,41,1,41,19.75,207.59493670886076
2015 Q2,Bradford,Pedestrian,63,1,63,61,103.27868852459017
2015 Q2,Bradford's matched-control LADs,Car or van driver or occupant,5616,58,96.82758620689656,79.96982758620689,121.08014876300331
2015 Q2,Bradford's matched-control LADs,Cyclist,1246,57,21.859649122807017,17.58189655172414,124.33043874702692
2015 Q2,Bradford's matched-control LADs,Other,1293,58,22.29310344827586,15.288793103448278,145.81336340569493
2015 Q2,Bradford's matched-control LADs,Pedestrian,1307,58,22.53448275862069,21.67241379310345,103.97772474144789
2015 Q3,Bradford,Car or van driver or occupant,299,1,299,178,167.97752808988764
2015 Q3,Bradford,Cyclist,32,1,32,20,160
2015 Q3,Bradford,Other,42,1,42,19.75,212.65822784810126
2015 Q3,Bradford,Pedestrian,69,1,69,61,113.11475409836065
2015 Q3,Bradford's matched-control LADs,Car or van driver or occupant,6000,58,103.44827586206897,79.96982758620689,129.35913329380693
2015 Q3,Bradford's matched-control LADs,Cyclist,1274,58,21.96551724137931,17.58189655172414,124.93258151507723
2015 Q3,Bradford's matched-control LADs,Other,1457,58,25.120689655172413,15.288793103448278,164.30786580208624
2015 Q3,Bradford's matched-control LADs,Pedestrian,1277,58,22.017241379310345,21.67241379310345,101.59108989657915
2015 Q4,Bradford,Car or van driver or occupant,253,1,253,178,142.13483146067415
2015 Q4,Bradford,Cyclist,38,1,38,20,190
2015 Q4,Bradford,Other,51,1,51,19.75,258.2278481012658
2015 Q4,Bradford,Pedestrian,108,1,108,61,177.04918032786884
2015 Q4,Bradford's matched-control LADs,Car or van driver or occupant,6245,58,107.67241379310344,79.96982758620689,134.64129790330406
2015 Q4,Bradford's matched-control LADs,Cyclist,1087,58,18.74137931034483,17.58189655172414,106.59475361608239
2015 Q4,Bradford's matched-control LADs,Other,1246,58,21.482758620689655,15.288793103448278,140.51310967014376
2015 Q4,Bradford's matched-control LADs,Pedestrian,1676,58,28.896551724137932,21.67241379310345,133.33333333333334
2016 Q1,Bradford,Car or van driver or occupant,286,1,286,178,160.67415730337078
2016 Q1,Bradford,Cyclist,20,1,20,20,100
2016 Q1,Bradford,Other,33,1,33,19.75,167.08860759493672
2016 Q1,Bradford,Pedestrian,93,1,93,61,152.45901639344262
2016 Q1,Bradford's matched-control LADs,Car or van driver or occupant,5629,58,97.05172413793103,79.96982758620689,121.36042688513987
2016 Q1,Bradford's matched-control LADs,Cyclist,970,58,16.724137931034484,17.58189655172414,95.121353272861
2016 Q1,Bradford's matched-control LADs,Other,1033,58,17.810344827586206,15.288793103448278,116.49281082605017
2016 Q1,Bradford's matched-control LADs,Pedestrian,1534,58,26.448275862068964,21.67241379310345,122.0365950676213
2016 Q2,Bradford,Car or van driver or occupant,226,1,226,178,126.96629213483146
