quarter_year,n_casualties,n_collisions,group,base_2019,casualty_index,group_type
2015 Q1,388,287,Bradford,278.75,139.1928251121076,Bradford
2015 Q2,407,292,Bradford,278.75,146.00896860986546,Bradford
2015 Q3,442,302,Bradford,278.75,158.56502242152467,Bradford
2015 Q4,450,355,Bradford,278.75,161.43497757847533,Bradford
2016 Q1,432,320,Bradford,278.75,154.97757847533632,Bradford
2016 Q2,338,248,Bradford,278.75,121.25560538116592,Bradford
2016 Q3,456,315,Bradford,278.75,163.58744394618833,Bradford
2016 Q4,382,266,Bradford,278.75,137.0403587443946,Bradford
2017 Q1,346,268,Bradford,278.75,124.12556053811659,Bradford
2017 Q2,325,233,Bradford,278.75,116.59192825112108,Bradford
2017 Q3,366,263,Bradford,278.75,131.30044843049328,Bradford
2017 Q4,327,249,Bradford,278.75,117.30941704035874,Bradford
2018 Q1,272,205,Bradford,278.75,97.57847533632287,Bradford
2018 Q2,331,248,Bradford,278.75,118.74439461883408,Bradford
2018 Q3,331,256,Bradford,278.75,118.74439461883408,Bradford
2018 Q4,357,262,Bradford,278.75,128.07174887892376,Bradford
2019 Q1,251,198,Bradford,278.75,90.04484304932735,Bradford
2019 Q2,259,194,Bradford,278.75,92.91479820627802,Bradford
2019 Q3,283,202,Bradford,278.75,101.52466367713005,Bradford
2019 Q4,322,237,Bradford,278.75,115.51569506726457,Bradford
2020 Q1,297,215,Bradford,278.75,106.54708520179372,Bradford
2020 Q2,156,121,Bradford,278.75,55.964125560538115,Bradford
2020 Q3,238,188,Bradford,278.75,85.38116591928251,Bradford
2020 Q4,231,170,Bradford,278.75,82.86995515695067,Bradford
2021 Q1,205,160,Bradford,278.75,73.54260089686099,Bradford
2021 Q2,421,296,Bradford,278.75,151.03139013452915,Bradford
2021 Q3,408,300,Bradford,278.75,146.3677130044843,Bradford
2021 Q4,412,304,Bradford,278.75,147.80269058295963,Bradford
2022 Q1,304,242,Bradford,278.75,109.05829596412556,Bradford
2022 Q2,334,262,Bradford,278.75,119.82062780269058,Bradford
2022 Q3,354,258,Bradford,278.75,126.99551569506727,Bradford
2022 Q4,404,301,Bradford,278.75,144.93273542600897,Bradford
2023 Q1,319,245,Bradford,278.75,114.43946188340807,Bradford
2023 Q2,395,290,Bradford,278.75,141.70403587443946,Bradford
