row_label,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,time 40
Bath,1,1.1,1,1.1538461538461537,1,1.25,1.1,1,1.2,1,1.125,1.125,1,1,1.3333333333333333,1,1,1.0909090909090908,1.0833333333333333,1.2666666666666666,1.1666666666666667,1.6666666666666667,1.25,1,1,1,1.3,1.3333333333333333,1,1,1,1,1,NA,1,1,1,1,1.5,1
Birmingham,1.25,1.5333333333333334,1.5405405405405406,1.2962962962962963,1.411764705882353,1.3026315789473684,1.4210526315789473,1.381578947368421,1.2121212121212122,1.4457831325301205,1.2222222222222223,1.3614457831325302,1.4583333333333333,1.393939393939394,1.2658227848101267,1.3157894736842106,1.3333333333333333,1.2987012987012987,1.3,1.288888888888889,1.1830985915492958,1.2727272727272727,1.3333333333333333,1.2291666666666667,1.391304347826087,1.1923076923076923,1.4,1.2658227848101267,1.476923076923077,1.3529411764705883,1.3880597014925373,1.3142857142857143,1.2982456140350878,1.3166666666666667,1.2291666666666667,1.2653061224489797,1.2203389830508475,1.537037037037037,1.2372881355932204,1.5277777777777777
Bradford,1.3333333333333333,1.489795918367347,1.2912621359223302,1.368,1.3706896551724137,1.4342105263157894,1.3982300884955752,1.5360824742268042,1.4186046511627908,1.4875,1.3846153846153846,1.423913043478261,1.3289473684210527,1.3703703703703705,1.3411764705882352,1.3584905660377358,1.2602739726027397,1.3918918918918919,1.5166666666666666,1.5147058823529411,1.4383561643835616,1.2105263157894737,1.3461538461538463,1.3559322033898304,1.1578947368421053,1.3725490196078431,1.3529411764705883,1.3267326732673268,1.288659793814433,1.3421052631578947,1.379746835443038,1.3113207547169812,1.2988505747126438,1.3707865168539326,1.3295454545454546,1.144578313253012,1.4069767441860466,1.4337349397590362,1.2790697674418605,1.3131313131313131
Bristol,1.2592592592592593,1.0714285714285714,1.2,1.411764705882353,1,1.1071428571428572,1.0344827586206897,1.0555555555555556,1.096774193548387,1.2142857142857142,1.1428571428571428,1.206896551724138,1.08,1.2571428571428571,1.1515151515151516,1.2121212121212122,1.0625,1.1142857142857143,1.162162162162162,1.0357142857142858,1.1176470588235294,1.1428571428571428,1.1,1.1,1,1.0476190476190477,1,1.1111111111111112,1.0666666666666667,1.0789473684210527,1.1428571428571428,1,1.1111111111111112,1.2,1,1,1.0952380952380953,1,1.0909090909090908,1.125
Newcastle,1.1111111111111112,1.2903225806451613,1.1578947368421053,1.3823529411764706,1.15625,1.25,1.2222222222222223,1.4782608695652173,1.1666666666666667,1.2413793103448276,1.125,1.08,1.2962962962962963,1.36,1.16,1.1290322580645162,1.2058823529411764,1.3,1.1904761904761905,1.09375,1.05,1.25,1.1538461538461537,1.2222222222222223,1,1.2941176470588236,1.0434782608695652,1.173913043478261,1.3783783783783783,1,1.0666666666666667,1,1.1304347826086956,1.0952380952380953,1.0476190476190477,1.2857142857142858,1.0555555555555556,1.2142857142857142,1.2222222222222223,1.3333333333333333
Portsmouth,1.0384615384615385,1.04,1.2083333333333333,1.15,1.125,1.1176470588235294,1.0526315789473684,1.05,1.0833333333333333,1.2727272727272727,1.263157894736842,1.3888888888888888,1.4210526315789473,1.0625,1.1111111111111112,1.2727272727272727,1,1.4285714285714286,1,1.0454545454545454,1.15,1,1,1.263157894736842,1,1,1,1,1.0625,1.25,1,1.4705882352941178,1,1.1176470588235294,1.1111111111111112,1.0384615384615385,1.1666666666666667,1.1111111111111112,1,1.0555555555555556
Sheffield,1.565217391304348,1.2352941176470589,1.1304347826086956,1.4545454545454546,1.25,1.5263157894736843,1.25,1.3461538461538463,1.2,1.2,1.2380952380952381,1.0416666666666667,1.2222222222222223,1.2272727272727273,1.5416666666666667,1.25,1.4166666666666667,1.0666666666666667,1.1428571428571428,1.2272727272727273,1,1.3333333333333333,1.1666666666666667,1.25,1,1,1.2142857142857142,1.1923076923076923,1.15,1.1666666666666667,1.3333333333333333,1.0416666666666667,1.0476190476190477,1.0769230769230769,1.0555555555555556,1.2173913043478262,1.1538461538461537,1,1.4285714285714286,1.0555555555555556
pooled CAZ,1.2658610271903323,1.3531468531468531,1.3047945205479452,1.3405572755417956,1.2911392405063291,1.319672131147541,1.308724832214765,1.3685897435897436,1.2490421455938698,1.38,1.2748091603053435,1.3082437275985663,1.3174603174603174,1.3125,1.2814814814814814,1.2830188679245282,1.2413793103448276,1.2845528455284554,1.2789699570815452,1.2707581227436824,1.2342342342342343,1.2073170731707317,1.2470588235294118,1.2647058823529411,1.1985294117647058,1.242152466367713,1.278810408921933,1.2454873646209386,1.297709923664122,1.2574257425742574,1.2990654205607477,1.2452107279693487,1.2212389380530972,1.2755555555555556,1.2046511627906977,1.1688311688311688,1.2570093457943925,1.3365384615384615,1.2317596566523605,1.3188976377952757
national,1.303665462054724,1.3225216065073717,1.3403377470734983,1.3195800331552772,1.2953858553294377,1.3195216615965593,1.3113949923352068,1.2929017160686427,1.288052373158756,1.2983936207095805,1.3167972149695388,1.2911106548963251,1.2914743745445714,1.3005640612409348,1.2938126512271,1.2742851022812467,1.2762616822429906,1.3072639838015692,1.3010041636051923,1.2818023128954834,1.2707930367504836,1.2550352467270895,1.2764227642276422,1.2513780098636496,1.2463419522950492,1.2576800847457628,1.2597587861496564,1.2550582464745554,1.264356969533567,1.2577011806215226,1.2827301756253326,1.2424242424242424,1.2522292993630573,1.2793572311495673,1.2681976339596381,1.257750681022182,1.2483289741354258,1.2641117874930825,1.254476244184407,1.250989909311534
Bath control grp,1,1.25,1.5,1.2727272727272727,1.2,1.2,1,1,1.1666666666666667,1.7142857142857142,1.2352941176470589,1,1.2,1.4285714285714286,1.7777777777777777,1.125,1.0769230769230769,1.5,1.1111111111111112,1.0833333333333333,1,NA,1,1,1.5,1,1.2857142857142858,1.1428571428571428,1.2,1.2,1,1,1.2727272727272727,1.5,1.2222222222222223,1,1.375,1,1,1.5
