row_label,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,time 40
Bath,11,11,5,15,6,5,11,11,6,4,9,9,15,11,8,11,6,12,13,19,7,5,10,4,1,2,13,8,12,4,5,4,2,NA,6,2,5,6,12,2
Birmingham,125,92,114,105,120,99,108,105,80,120,88,113,105,92,100,125,120,100,91,116,84,14,64,59,64,62,91,100,96,69,93,92,74,79,59,62,72,83,73,110
Bradford,156,146,133,171,159,109,158,149,122,119,144,131,101,111,114,144,92,103,91,103,105,46,70,80,66,140,161,134,125,102,109,139,113,122,117,95,121,119,110,130
Bristol,34,30,30,24,29,31,30,38,34,34,16,35,27,44,38,40,34,39,43,29,19,8,22,11,12,22,18,30,16,41,24,19,30,30,16,20,23,21,24,27
Newcastle,30,40,44,47,37,30,33,68,28,36,27,27,35,34,29,35,41,26,25,35,21,5,15,22,6,22,24,27,51,9,16,21,26,23,22,36,19,17,22,28
Portsmouth,27,26,29,23,27,19,20,21,26,14,24,25,27,17,20,28,14,20,19,23,23,13,17,24,9,16,20,15,17,15,15,25,9,19,20,27,14,20,26,19
Sheffield,36,42,26,48,30,29,30,35,30,18,26,25,22,27,37,25,17,16,16,27,15,8,14,15,5,13,17,31,23,14,16,25,22,14,19,28,15,12,20,19
pooled CAZ,419,387,381,433,408,322,390,427,326,345,334,365,332,336,346,408,324,316,298,352,274,99,212,215,163,277,344,345,340,254,278,325,276,287,259,270,269,278,287,335
national,12626,13007,13969,14328,12858,12579,12832,13260,11805,11235,12104,12578,10634,11298,11229,11898,10242,10330,10624,11749,9198,4985,8478,8627,6218,9498,9714,10235,9379,9268,9641,9758,8847,9315,9112,9696,8591,9137,8898,9794
Bath control grp,3,5,12,14,6,12,7,9,14,12,21,9,6,10,16,9,14,18,10,13,6,NA,6,8,6,4,9,8,6,12,6,5,14,6,11,6,11,8,5,3
Birmingham control grp,177,171,145,198,157,143,189,190,192,158,182,184,178,130,148,167,111,165,111,158,103,35,74,117,56,109,122,173,91,114,109,125,99,113,100,130,100,111,95,96
Bradford control grp,566,481,536,537,560,480,494,501,495,489,468,514,440,440,407,457,393,353,371,429,340,192,265,314,175,507,472,565,315,328,366,345,333,333,344,377,331,310,327,385
Bristol control grp,59,77,63,109,87,71,62,73,64,74,84,90,72,60,69,64,68,74,84,61,34,24,35,34,22,42,47,69,44,63,56,61,58,49,46,60,27,41,39,44
Newcastle control grp,96,104,83,100,110,110,94,110,121,85,105,114,74,101,97,105,79,103,99,85,64,16,41,48,33,53,84,89,64,78,87,83,64,76,69,64,58,68,70,64
Portsmouth control grp,35,18,26,31,25,24,31,38,22,22,35,27,38,14,22,37,30,16,16,24,16,15,23,15,16,14,20,17,8,14,13,12,28,27,27,20,23,15,10,16
Sheffield control grp,28,30,38,23,29,33,23,26,19,35,36,38,35,26,33,26,15,15,24,22,16,5,16,8,14,15,14,28,15,17,25,20,20,13,41,17,17,27,12,20
