row_label,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,time 40
Bath,11,10,5,13,6,4,10,11,5,4,8,8,15,11,6,11,6,11,12,15,6,3,8,4,1,2,10,6,12,4,5,4,2,NA,6,2,5,6,8,2
Birmingham,100,60,74,81,85,76,76,76,66,83,72,83,72,66,79,95,90,77,70,90,71,11,48,48,46,52,65,79,65,51,67,70,57,60,48,49,59,54,59,72
Bradford,117,98,103,125,116,76,113,97,86,80,104,92,76,81,85,106,73,74,60,68,73,38,52,59,57,102,119,101,97,76,79,106,87,89,88,83,86,83,86,99
Bristol,27,28,25,17,29,28,29,36,31,28,14,29,25,35,33,33,32,35,37,28,17,7,20,10,12,21,18,27,15,38,21,19,27,25,16,20,21,21,22,24
Newcastle,27,31,38,34,32,24,27,46,24,29,24,25,27,25,25,31,34,20,21,32,20,4,13,18,6,17,23,23,37,9,15,21,23,21,21,28,18,14,18,21
Portsmouth,26,25,24,20,24,17,19,20,24,11,19,18,19,16,18,22,14,14,19,22,20,13,17,19,9,16,20,15,16,12,15,17,9,17,18,26,12,18,26,18
Sheffield,23,34,23,33,24,19,24,26,25,15,21,24,18,22,24,20,12,15,14,22,15,6,12,12,5,13,14,26,20,12,12,24,21,13,18,23,13,12,14,18
pooled CAZ,331,286,292,323,316,244,298,312,261,250,262,279,252,256,270,318,261,246,233,277,222,82,170,170,136,223,269,277,262,202,214,261,226,225,215,231,214,208,233,254
national,9685,9835,10422,10858,9926,9533,9785,10256,9165,8653,9192,9742,8234,8687,8679,9337,8025,7902,8166,9166,7238,3972,6642,6894,4989,7552,7711,8155,7418,7369,7516,7854,7065,7281,7185,7709,6882,7228,7093,7829
Bath control grp,3,4,8,11,5,10,7,9,12,7,17,9,5,7,9,8,13,12,9,12,6,NA,6,8,4,4,7,7,5,10,6,5,11,4,9,6,8,8,5,2
Birmingham control grp,135,119,115,160,120,121,134,147,141,111,135,140,138,104,113,138,94,125,88,139,79,31,62,97,46,94,88,135,76,99,82,106,80,90,78,99,84,97,79,85
Bradford control grp,417,369,416,390,409,371,396,394,390,353,350,382,336,347,331,342,306,285,298,338,279,150,213,266,147,380,354,419,255,265,293,285,281,265,283,287,256,242,272,307
Bristol control grp,49,57,58,83,74,61,54,60,57,58,65,74,60,47,57,56,52,60,64,48,29,23,30,32,19,36,36,62,41,52,40,51,43,41,41,52,26,34,37,36
Newcastle control grp,82,80,61,81,90,88,73,88,101,74,76,98,65,83,85,83,62,85,86,78,54,15,39,45,28,47,72,76,55,67,74,69,52,59,58,55,51,57,60,49
Portsmouth control grp,26,14,18,25,15,23,22,28,21,18,25,20,33,12,18,29,25,14,13,18,13,13,16,12,13,13,18,16,8,13,12,11,24,19,16,15,16,13,8,16
Sheffield control grp,21,25,31,18,20,24,18,24,16,19,28,29,28,19,30,21,15,14,18,15,15,4,10,7,13,11,14,28,12,15,20,18,14,13,20,15,15,20,11,17
