scheme,caliper,n_treated,n_dropped,pct_dropped,mean_smd_after,max_smd_after
Aberdeen,5,17,12,41.4,0.223,0.471
Aberdeen,10,22,7,24.1,0.167,0.36
Aberdeen,15,24,5,17.2,0.174,0.294
Aberdeen,20,26,3,10.3,0.152,0.209
Aberdeen,25,28,1,3.4,0.141,0.298
Aberdeen,Inf,29,0,0,0.147,0.289
Bristol,5,21,27,56.2,0.143,0.317
Bristol,10,34,14,29.2,0.145,0.337
Bristol,15,42,6,12.5,0.098,0.34
Bristol,20,44,4,8.3,0.083,0.325
Bristol,25,45,3,6.2,0.093,0.318
Bristol,Inf,48,0,0,0.076,0.299
Dundee,5,6,5,45.5,0.39,0.764
Dundee,10,10,1,9.1,0.305,0.764
Dundee,15,10,1,9.1,0.305,0.764
Dundee,20,11,0,0,0.208,0.385
Dundee,25,11,0,0,0.208,0.385
Dundee,Inf,11,0,0,0.208,0.385
Glasgow,5,34,27,44.3,0.271,0.433
Glasgow,10,46,15,24.6,0.248,0.432
Glasgow,15,51,10,16.4,0.132,0.257
Glasgow,20,55,6,9.8,0.133,0.368
Glasgow,25,58,3,4.9,0.142,0.417
Glasgow,Inf,61,0,0,0.194,0.418
Newcastle,5,14,13,48.1,0.172,0.31
Newcastle,10,22,5,18.5,0.083,0.322
Newcastle,15,26,1,3.7,0.108,0.38
Newcastle,20,27,0,0,0.095,0.284
Newcastle,25,27,0,0,0.095,0.284
Newcastle,Inf,27,0,0,0.095,0.284
Sheffield,5,17,24,58.5,0.182,0.468
Sheffield,10,31,10,24.4,0.233,0.343
Sheffield,15,37,4,9.8,0.163,0.32
Sheffield,20,40,1,2.4,0.159,0.406
Sheffield,25,40,1,2.4,0.159,0.406
Sheffield,Inf,41,0,0,0.129,0.37
