var_group,label,Treated_mean,Matched_mean,Treated_sd,Matched_sd,Treated_median,Matched_median
Demographic & road characteristics,% A-road,13.239,11.0112,19.4236,16.8059,0,0
Demographic & road characteristics,% Asian,29.1714,21.0652,25.6295,23.4139,18.9101,10.9848
Demographic & road characteristics,% B-road,3.7751,3.7995,11.5365,10.6195,0,0
Demographic & road characteristics,% Black,7.2981,6.0883,10.2097,7.5468,3.8201,3.1469
Demographic & road characteristics,% Minor road,82.6172,84.5013,22.0156,20.4565,91.0101,95.7447
Demographic & road characteristics,% Mixed ethnicity,3.9664,3.5366,2.557,2.2338,3.6428,3.2389
Demographic & road characteristics,% White,54.5743,64.6084,26.8731,26.911,62.2229,73.8281
Demographic & road characteristics,% aged 15–24,28.9026,19.4411,20.6994,13.668,20.5853,15.1229
Demographic & road characteristics,% aged 25–44,35.2936,32.5298,13.7109,10.9276,31.7058,30.1887
Demographic & road characteristics,% aged 45–64,15.4927,20.1321,8.306,7.3249,16.1294,21.0938
Demographic & road characteristics,% aged 65+,6.5072,9.7496,6.2587,7.0768,4.968,8.547
Demographic & road characteristics,% aged under 15,13.056,15.9975,10.9077,8.9121,10.0209,16.2791
Demographic & road characteristics,% commuting: bicycle,1.6343,1.8797,2.2844,1.9572,0.7394,1.2987
Demographic & road characteristics,% commuting: bus/coach,8.8293,8.3619,6.9101,7.0204,6.7898,6.3218
Demographic & road characteristics,% commuting: car passenger,2.5713,3.2963,2.0626,2.0135,2.2173,3.0612
Demographic & road characteristics,% commuting: drive car,18.4413,25.6877,8.3689,11.3567,17.8182,24.5989
Demographic & road characteristics,% commuting: other mode,0.7576,0.5117,1.1851,0.6742,0.4057,0.3817
Demographic & road characteristics,% commuting: taxi,0.579,0.5731,0.8123,0.6944,0.3448,0.4032
Demographic & road characteristics,% commuting: train,4.088,2.8607,4.1503,3.5017,2.7701,1.5504
Demographic & road characteristics,% commuting: underground/tram,0.6186,0.3688,1.3611,1.0653,0,0
Demographic & road characteristics,% commuting: walk,22.1498,13.9992,13.961,8.3379,19.0489,11.25
Demographic & road characteristics,% households: 1 car,34.8052,39.5156,11.828,8.8259,35.7676,39.759
Demographic & road characteristics,% households: 2+ cars,11.2154,17.3733,9.666,11.6947,8.3333,15.1786
Demographic & road characteristics,% working from home,4.465,2.997,5.2149,3.5741,2.3461,1.8349
Demographic & road characteristics,Area (km²),-3.4468,-3.243,1.0762,0.8945,-3.4949,-3.2619
Demographic & road characteristics,Distance to city centre (m),8.8065,8.444,0.657,0.5955,9.0645,8.4846
Demographic & road characteristics,Index of Multiple Deprivation,35.6289,35.4078,18.8149,18.2401,30.5,33.1
Demographic & road characteristics,Population density (persons/km²),8.9978,8.8863,0.9232,0.8159,9.1175,8.9876
Demographic & road characteristics,Retail businesses (per km²),3.5892,2.9602,0.7068,0.8129,3.6043,2.9821
Demographic & road characteristics,Road density (m/km²),9.8991,9.8364,0.4907,0.452,9.9429,9.8624
Demographic & road characteristics,Road length (km),0.6186,0.6255,0.4471,0.373,0.541,0.5712
Injury levels,Mean: car KSI/km,0.0152,0.007,0.0553,0.0173,0,0
Injury levels,Mean: car slight/km,0.1969,0.1167,0.4747,0.1289,0.0882,0.0784
Injury levels,Mean: cycling KSI/km,0.0122,0.0063,0.0411,0.0164,0,0
Injury levels,Mean: cycling slight/km,0.0524,0.0314,0.1033,0.0479,0.0061,0
Injury levels,Mean: other KSI/km,0.0113,0.0059,0.0433,0.015,0,0
Injury levels,Mean: other slight/km,0.0341,0.0205,0.0748,0.0371,0,0
Injury levels,Mean: pedestrian KSI/km,0.0351,0.0176,0.0777,0.03,0,0
Injury levels,Mean: pedestrian slight/km,0.096,0.0473,0.1778,0.0591,0.0454,0.0261
Injury levels,Mean: total injuries/km,0.4533,0.2719,0.5922,0.2313,0.3001,0.1977
Injury trends,Trend: car KSI/km,0.0049,0.0066,0.1044,0.0742,0,0
Injury trends,Trend: car slight/km,-0.0236,-0.0246,0.13,0.1099,0,0
Injury trends,Trend: cycling KSI/km,0.0051,0.0016,0.0888,0.0589,0,0
Injury trends,Trend: cycling slight/km,-0.015,-0.0146,0.133,0.1039,0,0
Injury trends,Trend: other KSI/km,2e-4,0.0025,0.1022,0.0671,0,0
Injury trends,Trend: other slight/km,-0.0149,-0.0074,0.1183,0.0876,0,0
Injury trends,Trend: pedestrian KSI/km,-0.0042,-0.0029,0.1205,0.0882,0,0
Injury trends,Trend: pedestrian slight/km,-0.0147,-0.0077,0.132,0.1015,0,0
Injury trends,Trend: total injuries/km,-0.0225,-0.0199,0.1173,0.0916,-0.0176,-0.0135
