OA,weights,country,LAD24CD,rank,cumulative_weight_share_pct
E00112584,14.970636215334421,England,E07000078,1,1.5
E00025614,14.970636215334421,England,E08000003,2,3
E00063798,4.277324632952691,England,E06000008,3,3.4
E00177075,4.277324632952691,England,E06000032,4,3.9
S00141646,3.7313432835820897,Scotland,S12000036,5,4.2
E00180935,3.564437194127243,England,E08000003,6,4.6
E00085262,3.564437194127243,England,E06000043,7,4.9
E00085553,3.564437194127243,England,E06000043,8,5.3
E00138145,3.564437194127243,England,E06000062,9,5.7
E00188720,3.564437194127243,England,E07000226,10,6
S00144073,3.109452736318408,Scotland,S12000036,11,6.3
S00144385,3.109452736318408,Scotland,S12000036,12,6.6
E00063795,2.8515497553017943,England,E06000008,13,6.9
E00068762,2.8515497553017943,England,E06000016,14,7.2
E00028388,2.8515497553017943,England,E08000006,15,7.5
E00039074,2.8515497553017943,England,E08000018,16,7.8
E00077755,2.8515497553017943,England,E06000058,17,8.1
E00083056,2.8515497553017943,England,E06000039,18,8.3
E00055574,2.8515497553017943,England,E08000034,19,8.6
E00058195,2.8515497553017943,England,E08000035,20,8.9
