variable,label,stage,skew_raw,skew_winsor,skew_log1p,max_med_ratio,log_applied
Underground_train_tram_pct,% commuting: underground/tram,Stage 1,8.02,4.92,2.86,42857142857.1,FALSE
mean_cyc_KSI_pkm,Mean: cycling KSI/km,Stage 2 level,24.18,4.2,4.15,1294909304,TRUE
pct_B_road,% B-road,Stage 1,4.81,3.77,2.56,100000000000,FALSE
mean_car_KSI_pkm,Mean: car KSI/km,Stage 2 level,99.73,3.76,3.7,6063390625.9,TRUE
mean_other_KSI_pkm,Mean: other KSI/km,Stage 2 level,109.16,3.74,3.7,6063390625.9,TRUE
mean_ped_KSI_pkm,Mean: pedestrian KSI/km,Stage 2 level,85.82,3.63,3.55,6802851122.9,TRUE
mean_other_slight_pkm,Mean: other slight/km,Stage 2 level,193.43,3.6,3.49,24253562503.6,TRUE
mean_cyc_slight_pkm,Mean: cycling slight/km,Stage 2 level,148.46,3.55,3.41,18190171877.7,TRUE
mean_ped_slight_pkm,Mean: pedestrian slight/km,Stage 2 level,41.31,3.33,3.17,8455140947.7,TRUE
mean_car_slight_pkm,Mean: car slight/km,Stage 2 level,91.68,2.75,2.43,36380343755.4,TRUE
mean_total_pkm,Mean: total injuries/km,Stage 2 level,141.52,2.67,2.14,2210.3,TRUE
Asian_pct,% Asian,Stage 1,2.77,2.64,0.21,21.1,FALSE
Other_pct,% commuting: other mode,Stage 1,4.86,2.6,1.35,33333333333.3,FALSE
pct_A_road,% A-road,Stage 1,3.05,2.59,1.42,100000000000,FALSE
pct_minor_road,% Minor road,Stage 1,-2.46,-2.46,-4.9,1,FALSE
Black_pct,% Black,Stage 1,3.46,2.4,0.53,50.5,FALSE
Bicycle_pct,% commuting: bicycle,Stage 1,3.63,2.31,0.47,27.1,FALSE
Taxi_pct,% commuting: taxi,Stage 1,5.28,2.26,1.23,33333333333.3,FALSE
Train_pct,% commuting: train,Stage 1,2.86,2.19,0.53,48.2,FALSE
Walk_pct,% commuting: walk,Stage 1,2.27,1.94,-0.06,12.2,FALSE
bus_Coach_pct,% commuting: bus/coach,Stage 1,2.15,1.88,-0.12,15.4,FALSE
White_pct,% White,Stage 1,-1.81,-1.79,-3.29,1.2,FALSE
workAthome_pct,% working from home,Stage 1,2.19,1.78,0.24,22.2,FALSE
Passenger_Car_pct,% commuting: car passenger,Stage 1,1.85,1.21,-0.64,13.4,FALSE
Mixed_pct,% Mixed ethnicity,Stage 1,1.39,0.97,-0.26,14.3,FALSE
IMD,Index of Multiple Deprivation,Stage 1,0.82,0.79,-0.31,4,FALSE
cars_twoPlus_pct,% households: 2+ cars,Stage 1,0.48,0.45,-0.98,3.5,FALSE
cars_one_pct,% households: 1 car,Stage 1,-0.15,-0.18,-0.87,2.1,FALSE
Drive_Car_pct,% commuting: drive car,Stage 1,0.13,0.11,-0.91,2.6,FALSE
