scheme,period,estimate_log_irr,se,irr,irr_lo,irr_hi,pct_change,pct_lo,pct_hi,p_value,sig
Newcastle,Anticipation: announcement to quarter before implementation,-0.2263121223296826,0.10597407871688247,0.7974691548862978,0.6478984443365983,0.9815690384103958,-20.253084511370222,-35.21015556634018,-1.8430961589604222,0.032716743036190134,*
Bristol,Anticipation: announcement to quarter before implementation,-0.17032636962700087,0.2492945568121174,0.8433895149523685,0.5173975724949986,1.3747762102970964,-15.661048504763153,-48.26024275050014,37.47762102970964,0.49445936555858705,
Sheffield,Anticipation: announcement to quarter before implementation,-0.06899418167109359,0.21853500469209236,0.9333321104956017,0.6081566447136667,1.4323757473575103,-6.6667889504398286,-39.184335528633326,43.237574735751025,0.7522209151390759,
Bath,Anticipation: announcement to quarter before implementation,-0.011502410644283118,0.3687636857500212,0.9885634891701169,0.47985119444611024,2.0365850568492165,-1.1436510829883062,-52.01488055538898,103.65850568492165,0.9751165631424592,
Portsmouth,Anticipation: announcement to quarter before implementation,0.06854538131022248,0.21102583247385057,1.0709492249272148,0.7081741433576152,1.6195624383210807,7.094922492721478,-29.18258566423848,61.95624383210807,0.7453174129612552,
Birmingham,Anticipation: announcement to quarter before implementation,0.10746989156787828,0.08322253935068336,1.1134573357872317,0.9458736458938771,1.3107324049046385,11.345733578723172,-5.412635410612287,31.07324049046385,0.19658040191344645,
Bradford,Anticipation: announcement to quarter before implementation,0.12280594826648646,0.06102282842450738,1.1306649921561582,1.003206333881633,1.2743174373122752,13.066499215615824,0.320633388163305,27.43174373122752,0.04417156066756891,*
Portsmouth,Implementation: event times 0-5,-0.10030553279017948,0.19135981111318062,0.9045610027640831,0.6216545275003851,1.3162143465947118,-9.543899723591686,-37.83454724996149,31.62143465947118,0.6001586308407656,
Newcastle,Implementation: event times 0-5,0.02831389948199572,0.09482585102442434,1.02871854796475,0.8542385697509112,1.2388364192397494,2.871854796475004,-14.576143024908884,23.883641923974942,0.7652541145806817,
Bristol,Implementation: event times 0-5,0.05144779011344382,0.12661992373257253,1.0527942185904975,0.8214146350612267,1.3493497916736776,5.279421859049749,-17.85853649387733,34.934979167367764,0.6845099132363663,
Sheffield,Implementation: event times 0-5,0.07017204464026178,0.1911994183676121,1.0726927164121254,0.7374339048252502,1.5603698939178814,7.269271641212538,-26.25660951747498,56.03698939178814,0.7136117690676345,
Birmingham,Implementation: event times 0-5,0.13507677123383202,0.1147186444345313,1.1446246552253498,0.9141397938919696,1.4332223693836725,14.462465522534984,-8.586020610803036,43.322236938367254,0.23901141088645197,
Bath,Implementation: event times 0-5,0.16253529352744095,0.2375031529038017,1.1764898401924206,0.7386206001364635,1.8739368274053871,17.648984019242064,-26.137939986353654,87.39368274053871,0.49375415215169755,
Bradford,Implementation: event times 0-5,0.2816749357628073,0.06797654518204149,1.3253478267762737,1.160024246675172,1.514232885196284,32.53478267762737,16.0024246675172,51.42328851962841,3.417352284580913e-5,***
