scheme,announcement_q,implementation_q,reference_window,anticipation_window,implementation_window,error,period,estimate_log_irr,se,p_value,ci_lo,ci_hi,irr,irr_lo,irr_hi,pct_change,pct_lo,pct_hi,sig,note
Bath,2020 Q1,2021 Q2,2015 Q1 to 2019 Q4,2020 Q1 to 2021 Q1,2021 Q2 to 2022 Q3,NA,Anticipation: announcement to quarter before implementation,-0.011502411272570151,0.37124162976033853,0.9752825991221027,-0.7391360056028337,0.7161311830576934,0.9885634885490153,0.4775263174016574,2.0465003399387665,-1.1436511450984677,-52.24736825983426,104.65003399387665,,Bath: full business plan and planned 2020 launch before COVID delay.
Bath,2020 Q1,2021 Q2,2015 Q1 to 2019 Q4,2020 Q1 to 2021 Q1,2021 Q2 to 2022 Q3,NA,Implementation: event times 0-5,0.16253529306678138,0.23911452552529552,0.496670201616777,-0.30612917696279784,0.6311997630963606,1.1764898396504593,0.7362915014128161,1.879864619033169,17.64898396504593,-26.370849858718394,87.9864619033169,,Bath: full business plan and planned 2020 launch before COVID delay.
Birmingham,2019 Q1,2021 Q3,2015 Q1 to 2018 Q4,2019 Q1 to 2021 Q2,2021 Q3 to 2022 Q4,NA,Anticipation: announcement to quarter before implementation,0.10746989151939555,0.08332595678607613,0.19713647805335305,-0.05584898378131366,0.2707887668201048,1.1134573357332482,0.9456819384177958,1.3109981148338838,11.345733573324823,-5.43180615822042,31.099811483388386,,Birmingham: charging approval/full business case period; long anticipation window.
Birmingham,2019 Q1,2021 Q3,2015 Q1 to 2018 Q4,2019 Q1 to 2021 Q2,2021 Q3 to 2022 Q4,NA,Implementation: event times 0-5,0.13507677123673315,0.11486214872996835,0.23959875748845347,-0.09005304027400482,0.3602065827474711,1.1446246552286705,0.9138827113962851,1.4336255462756298,14.462465522867053,-8.611728860371493,43.36255462756298,,Birmingham: charging approval/full business case period; long anticipation window.
Bradford,2021 Q1,2022 Q4,2015 Q1 to 2020 Q4,2021 Q1 to 2022 Q3,2022 Q4 to 2024 Q1,NA,Anticipation: announcement to quarter before implementation,0.12280594826648612,0.061022218143641664,0.0441694410595016,0.0032024007049484687,0.2424094958280238,1.1306649921561578,1.0032075338681052,1.2743159130377506,13.066499215615778,0.3207533868105239,27.43159130377506,*,Bradford: council approval/planned rollout became credible; formal launch was delayed.
Bradford,2021 Q1,2022 Q4,2015 Q1 to 2020 Q4,2021 Q1 to 2022 Q3,2022 Q4 to 2024 Q1,NA,Implementation: event times 0-5,0.2816749357628119,0.06797586535801585,3.4167344853045134e-5,0.14844223966110082,0.41490763186452295,1.32534782677628,1.1600257923564194,1.5142308675503195,32.534782677627994,16.002579235641946,51.42308675503195,***,Bradford: council approval/planned rollout became credible; formal launch was delayed.
Bristol,2022 Q3,2023 Q1,2015 Q1 to 2022 Q2,2022 Q3 to 2022 Q4,2023 Q1 to 2024 Q2,NA,Anticipation: announcement to quarter before implementation,-0.1703263696270011,0.2499809535855155,0.495645378774122,-0.6602890386546114,0.3196362994006093,0.8433895149523684,0.5167019660650081,1.3766269932135293,-15.661048504763164,-48.32980339349919,37.66269932135293,,Bristol: final CAZ start date announced before launch.
Bristol,2022 Q3,2023 Q1,2015 Q1 to 2022 Q2,2022 Q3 to 2022 Q4,2023 Q1 to 2024 Q2,NA,Implementation: event times 0-5,0.05144779011344375,0.12696855351498462,0.6853297395507605,-0.1974105747759261,0.3003061550028136,1.0527942185904973,0.82085354235765,1.3502721368712218,5.279421859049727,-17.914645764235004,35.027213687122185,,Bristol: final CAZ start date announced before launch.
Newcastle,2022 Q3,2023 Q3,2015 Q1 to 2022 Q2,2022 Q3 to 2023 Q2,2023 Q3 to 2024 Q4,NA,Anticipation: announcement to quarter before implementation,-0.22631212227876216,0.10637215775052236,0.03337438186312568,-0.43480155146978594,-0.017822693087738345,0.7974691549269053,0.6473931285459489,0.9823351917376665,-20.25308450730947,-35.260687145405115,-1.766480826233352,*,Newcastle: final charging timetable became operationally salient before staged launch.
Newcastle,2022 Q3,2023 Q3,2015 Q1 to 2022 Q2,2022 Q3 to 2023 Q2,2023 Q3 to 2024 Q4,NA,Implementation: event times 0-5,0.02831389950279222,0.09518199119521333,0.7661068055627296,-0.1582428032398259,0.21487060224541035,1.0287185479861438,0.8536424896417378,1.2397014720001323,2.8718547986143816,-14.635751035826218,23.970147200013226,,Newcastle: final charging timetable became operationally salient before staged launch.
