event_time,estimate,se,ci_lo,ci_hi
-12,6.252339198932386e-5,0.007483726591884923,-0.014605580728105125,0.01473062751208377
-11,0.009019810084925453,0.006541729407873474,-0.0038019795545065557,0.021841599724357463
-10,-0.002577256298440802,0.006316024113495306,-0.0149566635608916,0.009802150964009998
-9,-0.005924076096436113,0.005601227315838332,-0.016902481635479243,0.0050543294426070185
-8,4.889042763226482e-4,0.005698310660411976,-0.010679784618084824,0.011657593170730122
-7,0.006364963034891617,0.005745054978815223,-0.00489534472358622,0.017625270793369452
-6,0.01826444834115044,0.006469368502665772,0.005584486075925526,0.030944410606375355
-5,-0.01711072094305321,0.006945674210748874,-0.030724242396121003,-0.003497199489985418
-4,-0.001652693568957564,0.0062220801589206514,-0.01384797068044204,0.010542583542526913
-3,0.0044622469596608755,0.006382113916110631,-0.008046696315915963,0.016971190235237712
-2,-0.007876534335854859,0.005619843121990893,-0.01889142685495701,0.0031383581832472914
-1,1.5300652547492672e-4,0.00560686233130878,-0.01083644364389028,0.011142456694840134
0,0.006916588276145501,0.006327721795471041,-0.00548574644297774,0.01931892299526874
1,0.009936300787772205,0.006395218153595334,-0.002598326793274649,0.02247092836881906
2,0.0050247681526480025,0.006694365652710409,-0.008096188526664399,0.018145724831960405
3,0.004202599284061284,0.0063198045642621275,-0.008184217661892486,0.016589416230015055
4,-3.8484929841814695e-4,0.006133993807305309,-0.012407477160736553,0.011637778563900258
5,0.012356072201652062,0.006394459089367231,-1.7706761350771115e-4,0.024889212016811837
6,0.006709642948020192,0.006527765552883926,-0.006084777535632302,0.019504063431672686
7,0.002138089205825074,0.006572799597158764,-0.010744598004606105,0.015020776416256251
8,0.0021132021425632956,0.007608549698627,-0.012799555266745625,0.017025959551872215
9,-0.00914046233459796,0.010104176467122822,-0.028944648210158692,0.01066372354096277
10,0.011624188624202034,0.010318867304157134,-0.008600791291945947,0.03184916854035001
11,0.021469810803470612,0.013850250516351833,-0.00567668020857898,0.04861630181552021
12,0.008053976960565536,0.01097197568445443,-0.013451095380965146,0.02955904930209622
