calendar_year,calendar_quarter,quarter_year,event_time,Control_injury_count,Treated_injury_count,Control_index_2019,Treated_index_2019
2015.00,Q1,2015 Q1,-31.00,229.55,145.18,139.8911142936706,161.51
2015.00,Q2,2015 Q2,-30.00,204.53,140.69,124.64205118285756,156.52024982136604
2015.00,Q3,2015 Q3,-29.00,219.62,131.70,133.83937796694778,146.52165464032058
2015.00,Q4,2015 Q4,-28.00,231.28,159.60,140.94603922324302,177.55172736132585
2016.00,Q1,2016 Q1,-27.00,234.40,155.29,142.84582431058823,172.76523022190273
2016.00,Q2,2016 Q2,-26.00,232.92,104.71,141.94166823666774,116.48806608940316
2016.00,Q3,2016 Q3,-25.00,240.47,155.34,146.54531053554666,172.8197097184018
2016.00,Q4,2016 Q4,-24.00,260.91,138.22,159.00365675416288,153.77515960242428
2017.00,Q1,2017 Q1,-23.00,211.69,115.80,129.0086926411422,128.82372820705413
2017.00,Q2,2017 Q2,-22.00,216.83,113.78,132.13784112710505,126.57748638979079
2017.00,Q3,2017 Q3,-21.00,165.04,139.29,100.57811690003997,154.95669828441038
2017.00,Q4,2017 Q4,-20.00,201.29,122.17,122.67024562921911,135.91114691160521
2018.00,Q1,2018 Q1,-19.00,158.99,93.92,96.88919180793705,104.48361973033316
2018.00,Q2,2018 Q2,-18.00,195.23,103.94,118.97384912979891,115.6342387671013
2018.00,Q3,2018 Q3,-17.00,163.49,107.18,99.63297778027231,119.23666070724165
2018.00,Q4,2018 Q4,-16.00,180.83,134.15,110.20220973879663,149.23914354604727
2019.00,Q1,2019 Q1,-15.00,141.04,84.55299000000001,85.95306255941588,94.06584281586129
2019.00,Q2,2019 Q2,-14.00,143.21,97.00,87.27359419087723,107.90781795515488
2019.00,Q3,2019 Q3,-13.00,182.79,82.86,111.3925584965944,92.18131059011823
2019.00,Q4,2019 Q4,-12.00,189.33,95.14,115.38078475311251,105.84502863886561
2020.00,Q1,2020 Q1,-11.00,133.52,103.86,81.36661181032657,115.54518253482127
2020.00,Q2,2020 Q2,-10.00,96.25,42.79,58.653746860493015,47.606758383460836
2020.00,Q3,2020 Q3,-9.00,196.94,65.05,120.02010820194458,72.37333551829822
2020.00,Q4,2020 Q4,-8.00,113.82,70.72,69.37,78.67351047958505
2021.00,Q1,2021 Q1,-7.00,85.60,63.25,52.16392767373011,70.36690583632883
2021.00,Q2,2021 Q2,-6.00,132.66,141.65,80.84562436207756,157.58859085645034
2021.00,Q3,2021 Q3,-5.00,149.96,165.00,91.38659782490025,183.5637517326958
2021.00,Q4,2021 Q4,-4.00,175.29,128.00,106.82205609411949,142.40097104112158
2022.00,Q1,2022 Q1,-3.00,123.86,126.00,75.48353671436453,140.17595586860406
2022.00,Q2,2022 Q2,-2.00,124.06,108.00,75.60549250819257,120.15081931594634
2022.00,Q3,2022 Q3,-1.00,170.86,107.00,104.12398221500351,119.03831172968758
2022.00,Q4,2022 Q4,0.00,164.76,138.00,100.40878531462593,153.52604690370922
2023.00,Q1,2023 Q1,1.00,142.98,115.00,87.13330115021586,127.93837241975767
2023.00,Q2,2023 Q2,2.00,112.49,128.00,68.55440974678602,142.40097104112158
2023.00,Q3,2023 Q3,3.00,124.89,120.00,76.11070833969028,133.5009103510515
2023.00,Q4,2023 Q4,4.00,137.01,104.00,83.49767534718048,115.70078897091129
2024.00,Q1,2024 Q1,5.00,122.13,122.00,74.42641180270282,135.73
2024.00,Q2,2024 Q2,6.00,148.60,117.00,90.56140343500086,130.1633875922752
2024.00,Q3,2024 Q3,7.00,135.44,105.00,82.53590533787872,116.81329655717005
2024.00,Q4,2024 Q4,8.00,146.88,132.00,89.50880037018204,146.85100138615664
