scheme,timing,timing_q,reference_window,post_window,estimate_log_irr,se,p_value,pct_change,pct_lo,pct_hi,error
Bath,Actual CAZ date,2021 Q2,2020 Q2 to 2021 Q1,2021 Q2 to 2022 Q3,0.27199007430274297,0.45952286436196277,0.5539197530886029,31.257397303456713,-46.67019083952356,223.0558034632121,NA
Bath,Placebo date: 2021 Q1,2021 Q1,2020 Q1 to 2020 Q4,2021 Q1 to 2022 Q2,-0.24602106125303966,0.4676356935186643,0.5988218146244939,-21.809424316293935,-68.73237661827832,95.53024709013644,NA
Birmingham,Actual CAZ date,2021 Q3,2020 Q3 to 2021 Q2,2021 Q3 to 2022 Q4,0.1731825084069098,0.12450281934054658,0.16422765119096872,18.908310294426478,-6.83918731786064,51.77182175640627,NA
Birmingham,Placebo date: 2021 Q1,2021 Q1,2020 Q1 to 2020 Q4,2021 Q1 to 2022 Q2,0.12023636735345457,0.14612469774480977,0.4106024075379931,12.776338652505071,-15.309609169296989,50.17645372884076,NA
Bradford,Actual CAZ date,2022 Q4,2021 Q4 to 2022 Q3,2022 Q4 to 2024 Q1,0.20187781402818744,0.09406168985104986,0.03185480835144153,22.36984801884294,1.7671222603123926,47.143589909631345,NA
Bradford,Placebo date: 2021 Q1,2021 Q1,2020 Q1 to 2020 Q4,2021 Q1 to 2022 Q2,0.20079611497632086,0.10862856028866887,0.0645350721188033,22.23755223527537,-1.2042761646328004,51.24155779627664,NA
Bristol,Actual CAZ date,2023 Q1,2022 Q1 to 2022 Q4,2023 Q1 to 2024 Q2,0.004176028486607752,0.19057053079045005,0.982517118495168,0.4184760244026364,-30.8811163045865,45.891683834191596,NA
Bristol,Placebo date: 2021 Q1,2021 Q1,2020 Q1 to 2020 Q4,2021 Q1 to 2022 Q2,0.13783763188343048,0.21691656589728509,0.5251409783080645,14.778917077766618,-24.972752413418675,75.59220455664217,NA
Newcastle,Actual CAZ date,2023 Q3,2022 Q3 to 2023 Q2,2023 Q3 to 2024 Q4,0.2546260217815465,0.13112301156693912,0.052150827487064504,28.997910656547752,-0.23722626166883254,66.80030366237726,NA
Newcastle,Placebo date: 2021 Q1,2021 Q1,2020 Q1 to 2020 Q4,2021 Q1 to 2022 Q2,0.07999417074752907,0.18312853706456206,0.6622420391403594,8.328075293954761,-24.341300971276546,55.104066651180595,NA
Portsmouth,Actual CAZ date,2022 Q1,2021 Q1 to 2021 Q4,2022 Q1 to 2023 Q2,-0.1636120162030669,0.23592446765660338,0.4880000860010146,-15.092861607809137,-46.52863841095757,34.82398681667374,NA
Portsmouth,Placebo date: 2021 Q1,2021 Q1,2020 Q1 to 2020 Q4,2021 Q1 to 2022 Q2,-0.08672691277736454,0.2791666046752117,0.7560563436373463,-8.307253738029118,-46.947779122036714,58.47705483248655,NA
Sheffield,Actual CAZ date,2023 Q2,2022 Q2 to 2023 Q1,2023 Q2 to 2024 Q3,0.13611685593801537,0.2172705368857948,0.5309964994008695,14.581578114983063,-25.15369160345331,75.41196519353942,NA
Sheffield,Placebo date: 2021 Q1,2021 Q1,2020 Q1 to 2020 Q4,2021 Q1 to 2022 Q2,-0.06591377746266108,0.3184069465601195,0.836001176945482,-6.378841665012969,-49.84196137099454,74.74609310014209,NA
