term,estimate,se,event_time,ci_lo,ci_hi,irr,irr_lo,irr_hi,pct_change,pct_lo,pct_hi,scheme
event_time_f::-8:treat_group,2.4687350142969584,1.20443631964466,-8,0.10803982779342514,4.829430200800491,11.80750108049048,1.1140921163335291,125.13963587194623,1080.750108049048,11.40921163335291,12413.963587194623,Bath
event_time_f::-7:treat_group,1.8758105997632388,1.1268789535623729,-7,-0.3328721492190121,4.0844933487454895,6.526107037667901,0.7168618396431593,59.41182904686216,552.6107037667902,-28.31381603568407,5841.182904686216,Bath
event_time_f::-6:treat_group,1.4662093544321253,1.086607657011859,-6,-0.6635416533111183,3.5959603621753686,4.332779939773264,0.5150240639409401,36.45068904713233,333.2779939773264,-48.49759360590598,3545.0689047132328,Bath
event_time_f::-5:treat_group,1.6852253490037605,1.181392519785454,-5,-0.6303039897757294,4.0007546877832505,5.393666252725415,0.532429923150607,54.63937014216226,439.3666252725415,-46.7570076849393,5363.937014216226,Bath
event_time_f::-4:treat_group,2.342073672071597,1.3558395047633334,-4,-0.31537175726453626,4.9995191014077305,10.402786178756925,0.729517620376896,148.34180458180933,940.2786178756925,-27.048237962310395,14734.180458180932,Bath
event_time_f::-3:treat_group,1.8232619933969165,1.0772588405160755,-3,-0.28816533401459155,3.934689320808425,6.192023883268026,0.7496376413919378,51.14625741013917,519.2023883268025,-25.036235860806222,5014.625741013917,Bath
event_time_f::-2:treat_group,0.4110707349764743,1.270665584861311,-2,-2.0794338113516955,2.9015752813046443,1.5084320516901641,0.12500096629475244,18.20279732238933,50.843205169016414,-87.49990337052476,1720.2797322389329,Bath
event_time_f::0:treat_group,0.5990165378734893,1.2587401622069685,0,-1.8681141800521688,3.066147255799147,1.8203276964461315,0.15441458551965978,21.459066909369117,82.03276964461314,-84.55854144803402,2045.9066909369117,Bath
event_time_f::1:treat_group,1.7460292971794815,1.1717884159599001,1,-0.5506759981019229,4.042734592460886,5.731798163861731,0.5765599251994331,56.981952361473304,473.17981638617306,-42.34400748005669,5598.19523614733,Bath
event_time_f::2:treat_group,0.3749720643354969,1.2100026205145527,2,-1.9966330718730263,2.7465772005440203,1.454950769033921,0.1357917153642143,15.58918181889518,45.495076903392096,-86.42082846357857,1458.9181818895179,Bath
event_time_f::3:treat_group,1.1906859322207453,1.1551193109586724,3,-1.0733479172582525,3.454719781699743,3.2893366957631107,0.34186207345411135,31.64941869325592,228.93366957631108,-65.81379265458887,3064.941869325592,Bath
event_time_f::4:treat_group,0.9585131620204329,1.2233945976919123,4,-1.4393402494557148,3.356366573496581,2.6078161893070697,0.23708412347507543,28.684777274539865,160.78161893070697,-76.29158765249245,2768.4777274539865,Bath
event_time_f::5:treat_group,1.0395405498137966,0.9776993285771518,5,-0.8767501341974209,2.9558312338250143,2.827917428637816,0.4161330932478566,19.217690476806876,182.79174286378162,-58.38669067521434,1821.7690476806877,Bath
event_time_f::6:treat_group,0.21803780233521852,1.2363737125439969,6,-2.205254674251015,2.641330278921452,1.24363407900283,0.11022245090959377,14.031857481791839,24.363407900282997,-88.97775490904061,1303.185748179184,Bath
event_time_f::7:treat_group,-0.4179064888379462,1.3172604056298431,7,-2.9997368838724383,2.1639239061965463,0.65842379552042,0.04980016987202848,8.70522923157767,-34.157620447958,-95.01998301279716,770.522923157767,Bath
event_time_f::8:treat_group,-13.33773935599029,1.0561617275195758,8,-15.407816341928658,-11.267662370051923,1.6124765097325863e-6,2.0345594501183538e-7,1.2779574931015816e-5,-99.99983875234902,-99.99997965440551,-99.9987220425069,Bath
event_time_f::-8:treat_group,0.06195472123946971,0.30006433306095004,-8,-0.5261713715599923,0.6500808140389318,1.0639141709224469,0.5908628389183276,1.9156956378603074,6.391417092244689,-40.91371610816724,91.56956378603074,Birmingham
event_time_f::-7:treat_group,0.30231167930696207,0.25922263503651266,-7,-0.20576468536460274,0.8103880439785269,1.3529828577586702,0.8140246056504883,2.2487804430997667,35.29828577586702,-18.597539434951173,124.87804430997667,Birmingham
event_time_f::-6:treat_group,0.29468109280100857,0.29467556752638807,-6,-0.282883019550712,0.8722452051527292,1.342698094313262,0.7536079400989922,2.3922759787213077,34.2698094313262,-24.639205990100777,139.22759787213076,Birmingham
event_time_f::-5:treat_group,-0.710988064556591,0.34239000972667155,-5,-1.3820724836208673,-0.03990364549231484,0.491158661165104,0.25105770054476173,0.9608820200059415,-50.8841338834896,-74.89422994552383,-3.9117979994058527,Birmingham
event_time_f::-4:treat_group,0.2338821123270985,0.32994479292951895,-4,-0.4128096818147587,0.8805739064689557,1.2634955328796234,0.6617882211765577,2.412283734468064,26.349553287962337,-33.82117788234423,141.22837344680642,Birmingham
event_time_f::-3:treat_group,0.05085500222697242,0.25347831946363825,-3,-0.4459625039217585,0.5476725083757034,1.052170319868842,0.640207776892494,1.7292235770494286,5.217031986884191,-35.9792223107506,72.92235770494287,Birmingham
event_time_f::-2:treat_group,-0.09527893826267242,0.3456289621824852,-2,-0.7727117041403434,0.5821538276149986,0.9091193109360677,0.46175921466525116,1.7898893953118704,-9.088068906393232,-53.82407853347488,78.98893953118704,Birmingham
event_time_f::0:treat_group,0.16663245678966487,0.2825890805688843,0,-0.3872421411253484,0.7205070547046781,1.1813199993625014,0.6789266789514352,2.05547518481542,18.131999936250143,-32.10733210485648,105.54751848154199,Birmingham
event_time_f::1:treat_group,0.2864083238790149,0.2599010612052972,1,-0.22299775608336764,0.7958144038413975,1.3316360830675038,0.8001166446875867,2.2162451806258177,33.16360830675038,-19.98833553124133,121.62451806258177,Birmingham
event_time_f::2:treat_group,0.23820325396699593,0.2893752440950188,2,-0.3289722244592409,0.8053787323932328,1.2689670892096605,0.719663005498617,2.237543768672062,26.89670892096605,-28.033699450138304,123.7543768672062,Birmingham
event_time_f::3:treat_group,-0.06403630927249254,0.29549483246459307,3,-0.6432061809030949,0.5151335623581099,0.9379709418699104,0.5256045364251586,1.6738620518310556,-6.202905813008963,-47.43954635748414,67.38620518310556,Birmingham
event_time_f::4:treat_group,0.12774889539383666,0.2716266061659415,4,-0.4046392526914086,0.6601370434790819,1.1362676448317708,0.6672174643528248,1.9350575032442543,13.626764483177078,-33.27825356471752,93.50575032442543,Birmingham
event_time_f::5:treat_group,0.2942653158079701,0.26869056138146974,5,-0.23236818449971053,0.8208988161156507,1.3421399473774178,0.7926542265742003,2.2725415167866196,34.213994737741785,-20.734577342579975,127.25415167866197,Birmingham
event_time_f::6:treat_group,0.16253781198029316,0.2887761433600345,6,-0.40346342900537446,0.7285390529659608,1.1764928031303452,0.6680024558665125,2.072051238227918,17.64928031303452,-33.19975441334875,107.20512382279179,Birmingham
event_time_f::7:treat_group,-0.03661858255705358,0.2720630461240337,7,-0.5698621529601595,0.4966249878460524,0.964043768342788,0.5656034000804656,1.6431661958685977,-3.5956231657211957,-43.43965999195344,64.31661958685977,Birmingham
event_time_f::8:treat_group,-0.22703415119520992,0.3632948843972049,8,-0.9390921246137316,0.4850238222233117,0.7968935669576576,0.39098263778926123,1.6242137007648494,-20.310643304234244,-60.901736221073875,62.42137007648494,Birmingham
event_time_f::-8:treat_group,-0.32776506619173246,0.1888714287535532,-8,-0.6979530665486967,0.042422934165231796,0.7205322772142329,0.4976028219018165,1.043335647742702,-27.946772278576717,-50.23971780981835,4.333564774270204,Bradford
event_time_f::-7:treat_group,-0.23653097836616876,0.2421837448488895,-7,-0.7112111182699922,0.23814916153765464,0.7893614287958253,0.491049118619252,1.2688984495535105,-21.063857120417474,-50.8950881380748,26.88984495535105,Bradford
event_time_f::-6:treat_group,0.3885747079054743,0.21550382658025777,-6,-0.033812792191830865,0.8109622080027795,1.4748771643327585,0.966752471308987,2.250071982670935,47.48771643327585,-3.3247528691012995,125.0071982670935,Bradford
event_time_f::-5:treat_group,0.303905640100392,0.20869363185423812,-5,-0.10513387833391469,0.7129451585346986,1.3551411790709234,0.9002039967072811,2.0399905154063385,35.514117907092334,-9.979600329271888,103.99905154063384,Bradford
event_time_f::-4:treat_group,0.0736805087925318,0.1987786795650468,-4,-0.31592570315495994,0.46328672074002353,1.0764628301411987,0.7291136189968795,1.5892889592020614,7.64628301411987,-27.088638100312046,58.92889592020614,Bradford
event_time_f::-3:treat_group,0.30104018967325147,0.2156828714056519,-3,-0.12169823828182624,0.7237786176283292,1.3512636472912043,0.885415512700064,2.0622108132289516,35.12636472912043,-11.458448729993599,106.22108132289516,Bradford
event_time_f::-2:treat_group,0.0025121087473420067,0.21453143267776922,-2,-0.4179694993010856,0.4229937167957697,1.0025152667363715,0.6583823092391708,1.5265247044698433,0.251526673637148,-34.16176907608291,52.65247044698433,Bradford
event_time_f::0:treat_group,0.19268958607789174,0.1984662083143271,0,-0.19630418221818938,0.5816833543739729,1.212506356242834,0.8217622311984976,1.7890474983075157,21.250635624283397,-17.823776880150245,78.90474983075157,Bradford
event_time_f::1:treat_group,0.2555774634485979,0.2113269800741745,1,-0.1586234174967841,0.6697783443939799,1.2912070304934535,0.8533176429643948,1.9538042009817997,29.12070304934535,-14.668235703560518,95.38042009817997,Bradford
event_time_f::2:treat_group,0.2311963963389566,0.2454547787790967,2,-0.24989497006807287,0.712287762745986,1.2601066954903948,0.7788825847603733,2.038649874946475,26.010669549039477,-22.11174152396267,103.86498749464752,Bradford
event_time_f::3:treat_group,0.20928575539291738,0.22027682251764452,3,-0.2224568167416659,0.6410283275275006,1.2327972266582057,0.800549576342974,1.8984320858662855,23.279722665820568,-19.945042365702605,89.84320858662855,Bradford
event_time_f::4:treat_group,-0.07449286776666683,0.21344106215881561,4,-0.49283734959794545,0.34385161406461173,0.9282140942748783,0.6108906225910956,1.410369341005974,-7.178590572512167,-38.91093774089044,41.03693410059741,Bradford
event_time_f::5:treat_group,0.2203716775593486,0.20138927411184543,5,-0.1743512996998684,0.6150946548185656,1.2465399554251726,0.840001753455554,1.8498316867544597,24.653995542517258,-15.999824654444605,84.98316867544598,Bradford
event_time_f::6:treat_group,0.11308816091846169,0.1926722684713308,6,-0.26454948528534666,0.49072580712227004,1.1197306450793458,0.7675516654145882,1.6335013967464687,11.973064507934584,-23.24483345854118,63.35013967464687,Bradford
event_time_f::7:treat_group,0.1099085317548523,0.19912058637296542,7,-0.2803678175361599,0.5001848810458646,1.116175971132164,0.7555058020606987,1.6490261161922026,11.617597113216394,-24.449419793930126,64.90261161922027,Bradford
event_time_f::8:treat_group,0.001194200527321887,0.22297651128203155,8,-0.43583976158545995,0.4382281626401037,1.0011949138687009,0.6467213472364918,1.5499585097041848,0.11949138687008531,-35.32786527635082,54.99585097041848,Bradford
event_time_f::-8:treat_group,0.7414559818473423,0.5471495173220441,-8,-0.33095707210386416,1.8138690357985487,2.098989381204429,0.7182360007392363,6.134134766113611,109.89893812044289,-28.176399926076368,513.4134766113611,Bristol
event_time_f::-7:treat_group,0.5634764356204374,0.5302832635736212,-7,-0.47587876098386017,1.602831632224735,1.7567691917733774,0.6213388081869421,4.967077466430409,75.67691917733774,-37.86611918130579,396.7077466430409,Bristol
