term,estimate,se,event_time,ci_lo,ci_hi,irr,irr_lo,irr_hi,pct_change,pct_lo,pct_hi
event_time_f::-8:treat_group,0.1823127816637508,0.12261240137323297,-8,-0.058007525027785806,0.42263308835528746,1.1999894698899571,0.9436428464714415,1.5259742954988422,19.998946988995712,-5.635715352855852,52.597429549884225
event_time_f::-7:treat_group,0.27375298439015516,0.12492816438226827,-7,0.02889378220090935,0.518612186579401,1.31488996377401,1.0293152570672681,1.6796949282183111,31.48899637740099,2.931525706726812,67.96949282183111
event_time_f::-6:treat_group,0.5210593983228957,0.1348271267882742,-6,0.2567982298178783,0.7853205668279131,1.683810531194127,1.2927842551275792,2.1931098663329966,68.3810531194127,29.27842551275792,119.31098663329966
event_time_f::-5:treat_group,0.224266084588868,0.12418841420914362,-5,-0.019143207261053508,0.4676753764387895,1.2514039544386848,0.9810388602944267,1.5962791287541769,25.140395443868478,-1.8961139705573338,59.627912875417685
event_time_f::-4:treat_group,0.208417417157646,0.12543296716295246,-4,-0.03743119848174081,0.4542660327970328,1.2317272063269789,0.9632606892389041,1.5750169479092964,23.172720632697885,-3.6739310761095934,57.50169479092963
event_time_f::-3:treat_group,0.21553865423400656,0.12041536742020381,-3,-0.0204754659095929,0.451552774377606,1.2405299337307094,0.9797327330311061,1.5707493121321061,24.05299337307094,-2.0267266968893916,57.07493121321061
event_time_f::-2:treat_group,0.0793206507672235,0.1245031208219371,-2,-0.1647054660437732,0.32334676757822023,1.0825513873568806,0.8481434743561477,1.3817444120028708,8.25513873568806,-15.185652564385233,38.17444120028708
event_time_f::0:treat_group,0.12853208097977598,0.11353293578314144,0,-0.09399247315518125,0.3510566351147332,1.1371579018456974,0.9102896138236449,1.4205677776530505,13.715790184569743,-8.971038617635507,42.05677776530506
event_time_f::1:treat_group,0.2054450143677427,0.11256555557059049,1,-0.01518347455061464,0.42607350328610005,1.2280714528200567,0.9849312132124926,1.5312333216778555,22.80714528200567,-1.5068786787507449,53.123332167785556
event_time_f::2:treat_group,0.0842360745291918,0.13226083922605203,2,-0.1749951703538702,0.3434673194122538,1.0878856855976753,0.8394610750593492,1.409827447740387,8.78856855976753,-16.05389249406508,40.98274477403869
event_time_f::3:treat_group,0.04544733593784929,0.12231772056378322,3,-0.1942953963671658,0.2851900682428644,1.0464958904380788,0.8234146346481185,1.330014797674558,4.649589043807878,-17.65853653518815,33.0014797674558
event_time_f::4:treat_group,-0.07481898223209102,0.12133494233721183,4,-0.3126354692130262,0.16299750474884417,0.9279114395844433,0.7315165242661188,1.1770337526899708,-7.208856041555666,-26.84834757338812,17.70337526899708
event_time_f::5:treat_group,0.11307735827248798,0.11889322296949936,5,-0.11995335874773076,0.3461080752927067,1.1197185490909356,0.8869618047617104,1.4135553779738528,11.97185490909356,-11.303819523828961,41.35553779738528
event_time_f::6:treat_group,0.015348331359188241,0.1105784475651285,6,-0.20138542586846359,0.2320820885868401,1.0154667219206353,0.8175972476885099,1.2612232566138717,1.5466721920635251,-18.240275231149006,26.12232566138717
event_time_f::7:treat_group,-0.08112553039442846,0.12143933508153856,7,-0.319146627154244,0.15689556636538712,0.9220779353723862,0.7267689774264106,1.1698734333864613,-7.792206462761375,-27.323102257358943,16.987343338646134
event_time_f::8:treat_group,-0.07505705683378888,0.1457209828734383,8,-0.3606701832657279,0.21055606959815015,0.9276905537327522,0.6972089117165378,1.2343642615900414,-7.230944626724778,-30.279108828346224,23.436426159004142
