term,estimate,se,event_time,ci_lo,ci_hi,irr,irr_lo,irr_hi,pct_change,pct_lo,pct_hi
event_time_ref::-34:treat_group,-0.4812683446404994,0.30414367410559257,-34,-1.077389945887461,0.11485325660646206,0.617999058714996,0.3404830460775822,1.1217088221349982,-38.200094128500396,-65.95169539224179,12.170882213499823
event_time_ref::-33:treat_group,0.00480198150175028,0.16610106439134428,-33,-0.32075610470528454,0.33036006770878507,1.0048135294919345,0.7256001998853592,1.3914690613502556,0.4813529491934476,-27.439980011464083,39.14690613502556
event_time_ref::-32:treat_group,-9.539036132664081e-4,0.11786645475666963,-32,-0.23197215493633888,0.23006434770980605,0.9990465512081552,0.7929682032493742,1.2586810005634317,-0.09534487918447798,-20.70317967506258,25.868100056343167
event_time_ref::-31:treat_group,-0.05360189999214856,0.13170841479629278,-31,-0.3117503929928824,0.20454659300858527,0.9478093543170322,0.7321642587512999,1.2269686226735315,-5.219064568296783,-26.783574124870015,22.696862267353147
event_time_ref::-30:treat_group,0.04361995935430999,0.1045200505018593,-30,-0.16123933962933423,0.2484792583379542,1.0445852945738654,0.8510883475589289,1.2820742297431325,4.45852945738654,-14.891165244107107,28.207422974313246
event_time_ref::-29:treat_group,-0.15687044819320592,0.12426782098528363,-29,-0.40043537732436185,0.08669448093794999,0.8548147944456246,0.6700282674090381,1.090563440895895,-14.518520555437542,-32.99717325909619,9.056344089589508
event_time_ref::-28:treat_group,-0.030866215973482308,0.11839107916064365,-28,-0.26291273112834385,0.20118029918137925,0.9696052820981068,0.7688089874765324,1.2228452299424328,-3.0394717901893187,-23.119101252346763,22.284522994243282
event_time_ref::-27:treat_group,0.2016133308654176,0.10736750137637237,-27,-0.00882697183227224,0.4120536335631074,1.2233748753400158,0.9912118715098761,1.5099154163008703,22.337487534001575,-0.8788128490123892,50.991541630087035
event_time_ref::-26:treat_group,-0.07325311129139137,0.09912096562455994,-26,-0.26753020391552884,0.12102398133274611,0.9293655673343042,0.7652672162073991,1.1286519786214542,-7.06344326656958,-23.473278379260087,12.865197862145417
event_time_ref::-25:treat_group,0.03526914779778937,0.09616768704631491,-25,-0.15321951881298787,0.2237578144085666,1.0358984810773835,0.8579413668679553,1.2507680647407078,3.589848107738347,-14.20586331320447,25.07680647407078
event_time_ref::-24:treat_group,-0.06218292679412744,0.11075404598326391,-24,-0.2792608569213247,0.15489500333306983,0.9397109727520744,0.7563425802826806,1.1675353673471751,-6.028902724792562,-24.365741971731936,16.75353673471751
event_time_ref::-23:treat_group,-0.12026759967196782,0.11817934299118514,-23,-0.3518991119346907,0.11136391259075507,0.8866831288524,0.7033510781264718,1.1178016149285142,-11.331687114760003,-29.66489218735282,11.780161492851416
event_time_ref::-22:treat_group,-0.02996851890088008,0.09654008434654546,-22,-0.21918708422010919,0.159250046418349,0.97047608472143,0.8031714433939454,1.1726311222376014,-2.952391527857001,-19.68285566060546,17.263112223760135
