scheme,quarter_year,group,n_units,mean_injuries,total_injuries,caz_start_q,implementation_period
Bath,2015 Q1,CAZ roads,191,0.054822460732984295,10.47109,2021 Q2,Pre implementation
Bath,2015 Q1,Matched controls,193,0.02974217616580311,5.74024,2021 Q2,Pre implementation
Bath,2015 Q2,CAZ roads,191,0.049085340314136125,9.3753,2021 Q2,Pre implementation
Bath,2015 Q2,Matched controls,193,0.019203730569948188,3.70632,2021 Q2,Pre implementation
Bath,2015 Q3,CAZ roads,191,0.025349267015706806,4.84171,2021 Q2,Pre implementation
Bath,2015 Q3,Matched controls,193,0.048901088082901556,9.43791,2021 Q2,Pre implementation
Bath,2015 Q4,CAZ roads,191,0.07948434554973823,15.18151,2021 Q2,Pre implementation
Bath,2015 Q4,Matched controls,193,0.08928963730569948,17.2329,2021 Q2,Pre implementation
Bath,2016 Q1,CAZ roads,191,0.02985371727748691,5.70206,2021 Q2,Pre implementation
Bath,2016 Q1,Matched controls,193,0.03977523316062176,7.67662,2021 Q2,Pre implementation
Bath,2016 Q2,CAZ roads,191,0.025302303664921467,4.83274,2021 Q2,Pre implementation
Bath,2016 Q2,Matched controls,193,0.03926839378238342,7.5788,2021 Q2,Pre implementation
Bath,2016 Q3,CAZ roads,191,0.05474167539267016,10.45566,2021 Q2,Pre implementation
Bath,2016 Q3,Matched controls,193,0.04580321243523316,8.840019999999999,2021 Q2,Pre implementation
Bath,2016 Q4,CAZ roads,191,0.06020371727748691,11.49891,2021 Q2,Pre implementation
Bath,2016 Q4,Matched controls,193,0.0396960621761658,7.66134,2021 Q2,Pre implementation
Bath,2017 Q1,CAZ roads,191,0.029545497382198953,5.64319,2021 Q2,Pre implementation
Bath,2017 Q1,Matched controls,193,0.07912,15.27016,2021 Q2,Pre implementation
Bath,2017 Q2,CAZ roads,191,0.019457696335078534,3.7164200000000003,2021 Q2,Pre implementation
Bath,2017 Q2,Matched controls,193,0.06463704663212436,12.47495,2021 Q2,Pre implementation
Bath,2017 Q3,CAZ roads,191,0.04433727748691099,8.46842,2021 Q2,Pre implementation
Bath,2017 Q3,Matched controls,193,0.10000621761658031,19.3012,2021 Q2,Pre implementation
Bath,2017 Q4,CAZ roads,191,0.04462445026178011,8.52327,2021 Q2,Pre implementation
Bath,2017 Q4,Matched controls,193,0.04912979274611399,9.482050000000001,2021 Q2,Pre implementation
Bath,2018 Q1,CAZ roads,191,0.06871083769633508,13.12377,2021 Q2,Pre implementation
