event_time,estimate,se,ci_lo,ci_hi
-12,-0.00222797549707324,0.009280122303593347,-0.0204170152121162,0.01596106421796972
-11,0.0054275989169418285,0.014923592693701072,-0.023822642762712273,0.03467784059659593
-10,0.009827001954493307,0.015965810514260263,-0.02146598665345681,0.04111999056244342
-9,-0.010456363862872702,0.014833315198329953,-0.03952966165159941,0.018616933925854007
-8,-0.005975240908658433,0.014228298156586145,-0.03386270529556728,0.021912223478250413
-7,0.007764009778430677,0.01461976423747149,-0.020890728127013446,0.0364187476838748
-6,0.04093467584444188,0.022603487054381647,-0.0033681587821461495,0.08523751047102991
-5,-0.03816666886663901,0.016673425296379173,-0.07084658244754219,-0.005486755285735834
-4,-0.0076665522597216505,0.007882933801323969,-0.02311710251031663,0.007783997990873329
-3,0.022534942735672633,0.008070403702152985,0.006716951479452782,0.038352933991892484
-2,-0.009398923977399576,0.006896242308808681,-0.02291555890266459,0.004117710947865439
-1,0.0016554132219945264,0.007109882934872233,-0.01227995733035505,0.015590783774344103
0,0.005980390771193415,0.007175767411633581,-0.008084113355608403,0.020044894897995234
1,0.0056758232041066664,0.007331840229303201,-0.008694583645327606,0.02004623005354094
2,0.0010928257341008209,0.0072701446526617355,-0.01315665778511618,0.015342309253317822
3,-0.0027178093909946133,0.0061828758983856116,-0.014836246151830412,0.009400627369841185
4,-0.0073052579734745465,0.006164384987840004,-0.019387452549640957,0.004776936602691862
5,0.0061474625864985704,0.00667027055510423,-0.0069262677015057205,0.01922119287450286
6,-9.477167850313703e-6,0.007286732035272299,-0.01429147195698402,0.014272517621283391
7,-0.005386430264020414,0.007206808221559401,-0.019511774378276843,0.008738913850236013
8,-0.0073376169430096495,0.008416895922250497,-0.02383473295062062,0.009159499064601324
9,-0.034403770617641154,0.01314219354075433,-0.06016246995751964,-0.008645071277762668
10,-0.013639119658840976,0.013087036430781893,-0.039289711063173485,0.012011471745491532
11,-0.003793497479572575,0.01722267653329134,-0.0375499434848236,0.02996294852567845
12,-0.01720933132247623,0.013700973309425662,-0.044063239008950525,0.009644576363998066
