event_time,estimate,se,ci_lo,ci_hi
-12,6.252339198855278e-5,0.007026305505434149,-0.013709035398662379,0.013834082182639484
-11,0.009019810084925918,0.006656843183663636,-0.004027602555054809,0.022067222724906646
-10,-0.0025772562984437797,0.006022531796419537,-0.014381418619426073,0.009226906022538513
-9,-0.005924076096433594,0.005862346519481664,-0.017414275274617655,0.0055661230817504685
-8,4.88904276322822e-4,0.005920294699142384,-0.01111487333399625,0.012092681886641895
-7,0.006364963034891666,0.005740253636229453,-0.00488593409211806,0.017615860161901392
-6,0.018264448341151047,0.006101154507645562,0.006306185506165745,0.030222711176136348
-5,-0.017110720943052247,0.00679961686394861,-0.03043796999639152,-0.0037834718897129718
-4,-0.0016526935689598094,0.006226824170723954,-0.01385726894357876,0.01055188180565914
-3,0.004462246959659187,0.0058334253172833105,-0.006971266662216102,0.015895760581534475
-2,-0.007876534335853535,0.005788945233094415,-0.019222866992718586,0.0034697983210115173
-1,1.530065254749838e-4,0.006059527579131203,-0.011723667529622174,0.012029680580572142
0,0.006916588276143011,0.006133156143924438,-0.005104397765948888,0.01893757431823491
1,0.009936300787772535,0.006494829386406703,-0.0027935648095846026,0.022666166385129673
2,0.0050247681526430854,0.006599191672202507,-0.007909647524873827,0.01795918383016
3,0.00420259928406068,0.006541001293036348,-0.008617763250290563,0.01702296181841192
4,-3.848492984192534e-4,0.005859071365858421,-0.01186862917550176,0.011098930578663251
5,0.012356072201650284,0.006188363673327464,2.2687940192845507e-4,0.024485265001372113
6,0.006709642948019941,0.006126251827630595,-0.005297810634136026,0.01871709653017591
7,0.0021380892058244995,0.006811730704546668,-0.01121290297508697,0.015489081386735968
8,0.002113202142563703,0.007726343638556722,-0.013030431389007474,0.017256835674134878
9,-0.009140462334596571,0.0103584559580975,-0.02944303601246767,0.01116211134327453
10,0.011624188624203603,0.01097275481124854,-0.009882410805843535,0.03313078805425074
11,0.02146981080347201,0.013140169567525357,-0.00428492154887769,0.04722454315582171
12,0.0080539769605683445,0.010627319796049266,-0.012775569839688215,0.028883523760824904
