stack_scheme,quarter_year,event_time,covid_period
Bath,2019 Q2,-8,non_pandemic
Bath,2019 Q3,-7,non_pandemic
Bath,2019 Q4,-6,non_pandemic
Bath,2020 Q1,-5,non_pandemic
Birmingham,2019 Q2,-9,non_pandemic
Birmingham,2019 Q3,-8,non_pandemic
Birmingham,2019 Q4,-7,non_pandemic
Birmingham,2020 Q1,-6,non_pandemic
Bradford,2019 Q2,-14,non_pandemic
Bradford,2019 Q3,-13,non_pandemic
Bradford,2019 Q4,-12,non_pandemic
Bradford,2020 Q1,-11,non_pandemic
Bristol,2022 Q1,-4,non_pandemic
Bristol,2022 Q2,-3,non_pandemic
Bristol,2022 Q3,-2,non_pandemic
Bristol,2022 Q4,-1,non_pandemic
Newcastle,2022 Q3,-4,non_pandemic
Newcastle,2022 Q4,-3,non_pandemic
Newcastle,2023 Q1,-2,non_pandemic
Newcastle,2023 Q2,-1,non_pandemic
Portsmouth,2019 Q2,-11,non_pandemic
Portsmouth,2019 Q3,-10,non_pandemic
Portsmouth,2019 Q4,-9,non_pandemic
Portsmouth,2020 Q1,-8,non_pandemic
Sheffield,2022 Q2,-4,non_pandemic
Sheffield,2022 Q3,-3,non_pandemic
Sheffield,2022 Q4,-2,non_pandemic
Sheffield,2023 Q1,-1,non_pandemic
