scheme,group,zero_dropped,link_stack_units,unique_road_links,OAs,pct_within_scheme_group
Bath,CAZ roads,FALSE,191,191,44,15.39081385979049
Bath,CAZ roads,TRUE,1050,1050,44,84.6091861402095
Bath,Matched controls,FALSE,220,220,43,19.50354609929078
Bath,Matched controls,TRUE,908,908,44,80.49645390070921
Birmingham,CAZ roads,FALSE,1239,1239,115,30.905462708904963
Birmingham,CAZ roads,TRUE,2770,2770,116,69.09453729109504
Birmingham,Matched controls,FALSE,1919,1712,204,24.84785705036903
Birmingham,Matched controls,TRUE,5804,5052,204,75.15214294963097
Bradford,CAZ roads,FALSE,2053,2053,249,20.800405268490376
Bradford,CAZ roads,TRUE,7817,7817,257,79.19959473150962
Bradford,Matched controls,FALSE,3286,2952,440,18.319674416011598
Bradford,Matched controls,TRUE,14651,13096,460,81.6803255839884
Bristol,CAZ roads,FALSE,463,463,45,30.4005252790545
Bristol,CAZ roads,TRUE,1060,1060,46,69.59947472094551
Bristol,Matched controls,FALSE,668,632,81,27.34343020875972
Bristol,Matched controls,TRUE,1775,1647,84,72.65656979124027
Newcastle,CAZ roads,FALSE,440,440,27,26.33153800119689
Newcastle,CAZ roads,TRUE,1231,1231,27,73.66846199880311
Newcastle,Matched controls,FALSE,2463,2202,218,27.890386139735025
Newcastle,Matched controls,TRUE,6368,5886,219,72.10961386026497
Portsmouth,CAZ roads,FALSE,376,376,52,22.705314009661837
Portsmouth,CAZ roads,TRUE,1280,1280,56,77.29468599033817
Portsmouth,Matched controls,FALSE,2724,1973,340,22.267636720346605
Portsmouth,Matched controls,TRUE,9509,7487,352,77.7323632796534
Sheffield,CAZ roads,FALSE,454,454,37,24.890350877192983
Sheffield,CAZ roads,TRUE,1370,1370,39,75.10964912280701
Sheffield,Matched controls,FALSE,637,621,68,22.17966573816156
Sheffield,Matched controls,TRUE,2235,2020,70,77.82033426183844
