scheme,treated_OA,control_OA,distance_km
Newcastle,E00190011,E00172058,539.2379887674904
Newcastle,E00175551,E00076073,537.9923675988316
Newcastle,E00190011,E00077276,473.16763715131697
Newcastle,E00042822,E00180453,473.0979373047279
Newcastle,E00042826,E00172752,472.88809020164643
Newcastle,E00189989,E00085086,472.8523908205314
Newcastle,E00189964,E00172754,472.5628904425736
Newcastle,E00042822,E00172744,472.4087035696798
Newcastle,E00189936,E00085694,472.39125360573706
Newcastle,E00175558,E00085530,472.3029976404786
Newcastle,E00189986,E00085529,472.2469378835207
Newcastle,E00175561,E00085698,471.87978979019175
Newcastle,E00175561,E00085697,471.7791657945666
Newcastle,E00189989,E00085570,471.7455876797057
Newcastle,E00190004,E00085588,471.608884873921
Newcastle,E00189983,E00085579,471.4505768994275
Newcastle,E00042826,E00085030,471.16440850943576
Newcastle,E00175558,E00085266,470.9272633152491
Newcastle,E00189983,E00085246,470.9090562143022
Newcastle,E00175585,E00085700,470.4807166654853
Newcastle,E00189977,E00172906,470.2937897462882
Newcastle,E00189974,E00085148,470.2869345122938
Newcastle,E00175585,E00184791,469.91580641534335
Portsmouth,E00179913,E00041668,461.7906667156289
Portsmouth,E00179963,E00044241,459.8468564983762
Portsmouth,E00086366,E00044241,458.0504732891137
Portsmouth,E00086060,E00044357,456.0987667179559
Portsmouth,E00086054,E00044357,455.7122235687626
Portsmouth,E00086371,E00044357,454.6107623198587
Portsmouth,E00086051,E00044576,453.71389309386035
Portsmouth,E00086015,E00044399,447.6643261026994
Portsmouth,E00086042,E00060875,419.79348097179684
Portsmouth,E00086020,E00060715,419.69943852041627
Portsmouth,E00086017,E00060990,419.5712463672472
Portsmouth,E00086049,E00060707,419.13446688452467
Portsmouth,E00086028,E00060866,418.91523421277094
Portsmouth,E00179913,E00060628,418.1686300948399
Portsmouth,E00086042,E00174107,417.7416268377229
Bradford,E00176159,E00076635,414.07924456602666
Bradford,E00053640,E00076075,413.65965833189347
Bradford,E00177762,E00076660,412.9263883746619
Bradford,E00054575,E00076608,410.8270519546071
Newcastle,E00190011,E00174515,394.6742042250937
Newcastle,E00042583,E00174518,394.3231836467181
Bristol,E00178075,E00044200,392.65187477590194
Bristol,E00178043,E00044841,392.30209589325284
Newcastle,E00175576,E00083307,388.85143685516715
Newcastle,E00042806,E00110053,383.74753808435105
Bradford,E00054419,E00101304,368.0277650526943
Bradford,E00054394,E00171929,365.1469124448081
Portsmouth,E00086027,E00064053,363.7569999359606
Portsmouth,E00086016,E00063945,362.36491529515985
Bradford,E00054167,E00101310,361.2447143684213
Portsmouth,E00174441,E00064245,359.69868996200324
Newcastle,E00175558,E00145631,359.53335684640854
Newcastle,E00189974,E00145624,359.44104235668425
Newcastle,E00042814,E00185995,356.02805725326726
Newcastle,E00189983,E00177122,353.1395487190707
Newcastle,E00189974,E00177122,353.07967542702926
Portsmouth,E00086049,E00067344,353.03096031599017
Newcastle,E00175576,E00177102,352.8833400067366
Portsmouth,E00179913,E00185498,352.45314419926143
Newcastle,E00189947,E00173271,352.25223724975
Portsmouth,E00086023,E00067355,352.17851919251865
Portsmouth,E00174441,E00185498,351.9766221718019
Portsmouth,E00086031,E00067354,351.9562580973896
Portsmouth,E00179966,E00067564,351.68257458168046
Portsmouth,E00174453,E00067559,351.6417016844978
Portsmouth,E00086036,E00067604,351.2433622615726
Newcastle,E00042583,E00079469,350.85917624637193
Bradford,E00177814,E00085757,350.6856640383292
Portsmouth,E00086036,E00067647,350.46440470420276
Bradford,E00177814,E00085198,349.11608893086606
Bradford,E00053599,E00085099,348.6082705635701
Bradford,E00176194,E00184753,347.65242405747
Bradford,E00054150,E00085099,347.641154774624
Bradford,E00054486,E00085879,346.63959050070457
Bradford,E00054423,E00077259,346.3170662269402
Bradford,E00054389,E00077801,346.28820624250585
Bradford,E00177783,E00085736,345.2764888828666
Bradford,E00054344,E00077681,345.13513021763794
Portsmouth,E00086060,E00056803,344.2317872605606
Bradford,E00054350,E00103171,344.21866671336574
Bradford,E00054643,E00085211,344.11378367886147
Portsmouth,E00086054,E00056803,343.76148439053986
Bradford,E00054408,E00077681,343.49122895630455
Newcastle,E00042806,E00112375,343.3551783606219
Bradford,E00177868,E00180414,342.9899268765691
Portsmouth,E00086371,E00056803,342.76014613150465
Bradford,E00177793,E00077681,341.5457014690263
Bradford,E00176195,E00077681,341.54035977891203
Bradford,E00054595,E00077681,341.46877565425456
Bradford,E00053548,E00077681,341.2947885940578
Bradford,E00053625,E00077681,340.9566907115056
Portsmouth,E00086049,E00063646,340.72561284127505
Portsmouth,E00086023,E00063629,340.33020527591407
Bradford,E00176114,E00077681,340.18689173284463
Bradford,E00177784,E00077681,340.14077492234156
Bradford,E00054129,E00077687,339.935908847245
